sample_accession,individual_accession
HRS039792,HRI035286
HRS039793,HRI035286
HRS039794,HRI035287
HRS039795,HRI035287
HRS039796,HRI035288
HRS039797,HRI035288
HRS039798,HRI035289
HRS039799,HRI035289
HRS039800,HRI035290
HRS039801,HRI035290
HRS039802,HRI035291
HRS039803,HRI035291
HRS039804,HRI035292
HRS039805,HRI035292
HRS039806,HRI035293
HRS039807,HRI035293
HRS039808,HRI035294
HRS039809,HRI035294
HRS039810,HRI035295
HRS039811,HRI035295
HRS039812,HRI035296
HRS039813,HRI035296
HRS039814,HRI035297
HRS039815,HRI035297
HRS039816,HRI035298
HRS039817,HRI035298
HRS039818,HRI035299
HRS039819,HRI035299
HRS039820,HRI035300
HRS039821,HRI035300
HRS039822,HRI035301
HRS039823,HRI035301
HRS039824,HRI035302
HRS039825,HRI035302
HRS039826,HRI035303
HRS039827,HRI035303
HRS039828,HRI035304
HRS039829,HRI035304
HRS039830,HRI035305
HRS039831,HRI035305
HRS039832,HRI035306
HRS039833,HRI035306
HRS039834,HRI035307
HRS039835,HRI035307
HRS039836,HRI035308
HRS039837,HRI035308
HRS039838,HRI035309
HRS039839,HRI035309
HRS039840,HRI035310
HRS039841,HRI035310
HRS039842,HRI035311
HRS039843,HRI035311
HRS039844,HRI035312
HRS039845,HRI035312
HRS039846,HRI035313
HRS039847,HRI035313
HRS039848,HRI035314
HRS039849,HRI035314
HRS039850,HRI035315
HRS039851,HRI035315
HRS039852,HRI035316
HRS039853,HRI035316
HRS039854,HRI035317
HRS039855,HRI035317
HRS039856,HRI035318
HRS039857,HRI035318
HRS039858,HRI035319
HRS039859,HRI035319
HRS039860,HRI035320
HRS039861,HRI035320
HRS039862,HRI035321
HRS039863,HRI035321
HRS039864,HRI035322
HRS039865,HRI035322
HRS039866,HRI035323
HRS039867,HRI035323
HRS039868,HRI035324
HRS039869,HRI035324
HRS039870,HRI035325
HRS039871,HRI035325
HRS039872,HRI035326
HRS039873,HRI035326
HRS039874,HRI035327
HRS039875,HRI035327
HRS039876,HRI035328
HRS039877,HRI035328
HRS039878,HRI035329
HRS039879,HRI035329
HRS039880,HRI035330
HRS039881,HRI035330
HRS039882,HRI035331
HRS039883,HRI035331
HRS039884,HRI035332
HRS039885,HRI035332
HRS039886,HRI035333
HRS039887,HRI035333
HRS039888,HRI035334
HRS039889,HRI035334
HRS039890,HRI035335
HRS039891,HRI035335
HRS039892,HRI035336
HRS039893,HRI035336
HRS039894,HRI035337
HRS039895,HRI035337
HRS039896,HRI035338
HRS039897,HRI035338
HRS039898,HRI035339
HRS039899,HRI035339
HRS039900,HRI035340
HRS039901,HRI035340
HRS039902,HRI035341
HRS039903,HRI035341
HRS039904,HRI035342
HRS039905,HRI035342
HRS039906,HRI035343
HRS039907,HRI035343
HRS039908,HRI035344
HRS039909,HRI035344
HRS039910,HRI035345
HRS039911,HRI035345
HRS039912,HRI035346
HRS039913,HRI035346
HRS039914,HRI035347
HRS039915,HRI035347
HRS039916,HRI035348
HRS039917,HRI035348
HRS039918,HRI035349
HRS039919,HRI035349
HRS039920,HRI035350
HRS039921,HRI035350
HRS039922,HRI035351
HRS039923,HRI035351
HRS039924,HRI035352
HRS039925,HRI035352
HRS039926,HRI035353
HRS039927,HRI035353
HRS039928,HRI035354
HRS039929,HRI035354
HRS039930,HRI035355
HRS039931,HRI035355
HRS039932,HRI035356
HRS039933,HRI035356
HRS039934,HRI035357
HRS039935,HRI035357
HRS039936,HRI035358
HRS039937,HRI035358
HRS039938,HRI035359
HRS039939,HRI035359
HRS039940,HRI035360
HRS039941,HRI035360
HRS039942,HRI035361
HRS039943,HRI035361
HRS039944,HRI035362
HRS039945,HRI035362
HRS039946,HRI035363
HRS039947,HRI035363
HRS039948,HRI035364
HRS039949,HRI035364
HRS039950,HRI035365
HRS039951,HRI035365
HRS039952,HRI035366
HRS039953,HRI035366
HRS039954,HRI035367
HRS039955,HRI035367
HRS039956,HRI035368
HRS039957,HRI035368
HRS039958,HRI035369
HRS039959,HRI035369
HRS039960,HRI035370
HRS039961,HRI035370
HRS039962,HRI035371
HRS039963,HRI035371
HRS039964,HRI035372
HRS039965,HRI035372
HRS039966,HRI035373
HRS039967,HRI035373
HRS039968,HRI035374
HRS039969,HRI035374
HRS039970,HRI035375
HRS039971,HRI035375
HRS039972,HRI035376
HRS039973,HRI035376
HRS039974,HRI035377
HRS039975,HRI035377
HRS039976,HRI035378
HRS039977,HRI035378
HRS039978,HRI035379
HRS039979,HRI035379
HRS039980,HRI035380
HRS039981,HRI035380
HRS039982,HRI035381
HRS039983,HRI035381
HRS039984,HRI035382
HRS039985,HRI035382
HRS039986,HRI035383
HRS039987,HRI035383
HRS039988,HRI035384
HRS039989,HRI035384
HRS039990,HRI035385
HRS039991,HRI035385
HRS039992,HRI035386
HRS039993,HRI035386
HRS039994,HRI035387
HRS039995,HRI035387
HRS039996,HRI035388
HRS039997,HRI035388
HRS039998,HRI035389
HRS039999,HRI035389
HRS040000,HRI035390
HRS040001,HRI035390
HRS040002,HRI035391
HRS040003,HRI035391
HRS040004,HRI035392
HRS040005,HRI035392
HRS040006,HRI035393
HRS040007,HRI035393
HRS040008,HRI035394
HRS040009,HRI035394
HRS040010,HRI035395
HRS040011,HRI035395
HRS040012,HRI035396
HRS040013,HRI035396
HRS040014,HRI035397
HRS040015,HRI035397
HRS040016,HRI035398
HRS040017,HRI035398
HRS040018,HRI035399
HRS040019,HRI035399
HRS040020,HRI035400
HRS040021,HRI035400
HRS040022,HRI035401
HRS040023,HRI035401
HRS040024,HRI035402
HRS040025,HRI035402
HRS040026,HRI035403
HRS040027,HRI035403
HRS040028,HRI035404
HRS040029,HRI035404
HRS040030,HRI035405
HRS040031,HRI035405
HRS040032,HRI035406
HRS040033,HRI035406
HRS040034,HRI035407
HRS040035,HRI035407
