tool_id,format
T001,RAW_PAIRED_END_R1_FASTQ
T001,RAW_PAIRED_END_R2_FASTQ
T002,RAW_SINGLE_END_FASTQ
T003,RAW_SINGLE_END_FASTQ
T003,DNA_GENOMIC_ALIGNMENT_BAM
T004,RAW_PAIRED_END_R1_FASTQ
T004,RAW_PAIRED_END_R2_FASTQ
T005,RAW_PAIRED_END_R1_FASTQ
T005,RAW_PAIRED_END_R2_FASTQ
T005,REFERENCE_GENOME_FASTA
T006,RAW_PAIRED_END_R1_FASTQ
T006,RAW_PAIRED_END_R2_FASTQ
T006,REFERENCE_GENOME_FASTA
T007,DNA_GENOMIC_ALIGNMENT_BAM
T008,DNA_GENOMIC_ALIGNMENT_BAM
T008,TARGET_INTERVAL_LIST
T008,REFERENCE_GENOME_FASTA
T009,DNA_VARIANT_VCF_GENERAL
T009,DNA_VARIANT_INDEX_TBI
T009,REFERENCE_GENOME_FASTA
T010,DNA_VARIANT_VCF_GENERAL
T010,REFERENCE_GENOME_FASTA
T011,RNA_TRANSCRIPTOME_ALIGNMENT_BAM
T012,DNA_GENOMIC_ALIGNMENT_BAM
T029,TABULAR_BIO_DATA
T030,TABULAR_BIO_DATA
T031,MUTATION_ANNOTATION_FORMAT_MAF
T031,CLINICAL_DATA_EXCEL
T032,TABULAR_BIO_DATA
T032,CLINICAL_DATA_EXCEL
T033,TABULAR_BIO_DATA
T033,CLINICAL_DATA_EXCEL
T034,RAW_PAIRED_END_R1_FASTQ
T034,RAW_PAIRED_END_R2_FASTQ
T034,DNA_GENOMIC_ALIGNMENT_BAM
T035,TABULAR_BIO_DATA
T036,MUTATION_ANNOTATION_FORMAT_MAF
T036,CLINICAL_DATA_EXCEL
T037,MUTATION_ANNOTATION_FORMAT_MAF
T037,CLINICAL_DATA_EXCEL
T038,MUTATION_ANNOTATION_FORMAT_MAF
T039,TABULAR_BIO_DATA
T039,CLINICAL_DATA_EXCEL
T041,SCRNA_OBJECT_RDS
T041,REFERENCE_GENOME_FASTA
T042,SCRNA_OBJECT_RDS
T042,TABULAR_BIO_DATA
T042,REFERENCE_GENOME_FASTA
T043,DNA_GENOMIC_ALIGNMENT_BAM
T043,TABULAR_BIO_DATA
T043,CLINICAL_DATA_EXCEL
T044,TABULAR_BIO_DATA
T044,CLINICAL_DATA_EXCEL
T044,METADATA_SAMPLEINFO
T045,SCRNA_OBJECT_RDS
T045,TABULAR_BIO_DATA
T045,REFERENCE_GENOME_FASTA
T046,SCRNA_OBJECT_RDS
T046,TABULAR_BIO_DATA
T046,REFERENCE_GENOME_FASTA
T047,TABULAR_BIO_DATA
T047,CLINICAL_DATA_EXCEL
T047,METADATA_SAMPLEINFO
T048,TABULAR_BIO_DATA
T048,CLINICAL_DATA_EXCEL
T048,METADATA_SAMPLEINFO
T049,TABULAR_BIO_DATA
T049,CLINICAL_DATA_EXCEL
T049,METADATA_SAMPLEINFO
T050,TABULAR_BIO_DATA
T050,CLINICAL_DATA_EXCEL
T050,METADATA_SAMPLEINFO
T051,TABULAR_BIO_DATA
T053,SCRNA_OBJECT_RDS
T053,REFERENCE_GENOME_FASTA
T054,SCRNA_OBJECT_RDS
T054,METADATA_SAMPLEINFO
T054,REFERENCE_GENOME_FASTA
T055,TABULAR_BIO_DATA
T055,CLINICAL_DATA_EXCEL
T055,METADATA_SAMPLEINFO
T056,SCRNA_OBJECT_RDS
T056,TABULAR_BIO_DATA
T056,REFERENCE_GENOME_FASTA
T057,TABULAR_BIO_DATA
T058,RNA_TRANSCRIPTOME_ALIGNMENT_BAM
T058,REFERENCE_GENOME_FASTA
T059,RAW_PAIRED_END_R1_FASTQ
T059,RAW_PAIRED_END_R2_FASTQ
T059,REFERENCE_GENOME_FASTA
T060,TABULAR_BIO_DATA
T060,SCRNA_OBJECT_RDS
T060,METADATA_SAMPLEINFO
T061,TABULAR_BIO_DATA
T061,CLINICAL_DATA_EXCEL
T061,METADATA_SAMPLEINFO
T062,SCRNA_OBJECT_RDS
T062,TABULAR_BIO_DATA
T062,METADATA_SAMPLEINFO
T062,REFERENCE_GENOME_FASTA
T063,TABULAR_BIO_DATA
T063,CLINICAL_DATA_EXCEL
T063,METADATA_SAMPLEINFO
T064,RAW_PAIRED_END_R1_FASTQ
T064,RAW_PAIRED_END_R2_FASTQ
T064,TARGET_INTERVAL_LIST
T064,REFERENCE_GENOME_FASTA
T064,DNA_VARIANT_VCF_GENERAL
T065,TABULAR_BIO_DATA
T065,CLINICAL_DATA_EXCEL
T065,METADATA_SAMPLEINFO
T066,TABULAR_BIO_DATA
T066,CLINICAL_DATA_EXCEL
T066,METADATA_SAMPLEINFO
