tool_id,format
T001,RAW_PAIRED_END_R1_FASTQ
T001,RAW_PAIRED_END_R2_FASTQ
T001,QC_STATS_REPORT
T002,RAW_SINGLE_END_FASTQ
T003,QC_STATS_REPORT
T003,TABULAR_BIO_DATA
T003,DNA_GENOMIC_ALIGNMENT_BAM
T004,RAW_PAIRED_END_R1_FASTQ
T004,RAW_PAIRED_END_R2_FASTQ
T004,QC_STATS_REPORT
T005,RAW_PAIRED_END_R1_FASTQ
T005,RAW_PAIRED_END_R2_FASTQ
T005,DNA_GENOMIC_ALIGNMENT_BAM
T005,RNA_TRANSCRIPTOME_ALIGNMENT_BAM
T005,REFERENCE_GENOME_FASTA
T006,DNA_GENOMIC_ALIGNMENT_BAM
T007,DNA_GENOMIC_ALIGNMENT_BAM
T007,QC_STATS_REPORT
T008,DNA_GENOMIC_ALIGNMENT_BAM
T008,QC_STATS_REPORT
T008,DNA_VARIANT_VCF_GENERAL
T008,DNA_VARIANT_INDEX_TBI
T009,DNA_VARIANT_VCF_GENERAL
T009,DNA_VARIANT_INDEX_TBI
T009,TABULAR_BIO_DATA
T010,DNA_VARIANT_VCF_GENERAL
T010,QC_STATS_REPORT
T011,TABULAR_BIO_DATA
T011,QC_STATS_REPORT
T012,TABULAR_BIO_DATA
T012,QC_STATS_REPORT
T013,QC_STATS_REPORT
T029,TABULAR_BIO_DATA
T030,TABULAR_BIO_DATA
T031,TABULAR_BIO_DATA
T031,MUTATION_ANNOTATION_FORMAT_MAF
T031,VISUALIZATION_RESULT
T032,QC_STATS_REPORT
T032,TABULAR_BIO_DATA
T032,VISUALIZATION_RESULT
T033,TABULAR_BIO_DATA
T033,QC_STATS_REPORT
T033,VISUALIZATION_RESULT
T034,DNA_GENOMIC_ALIGNMENT_BAM
T035,TABULAR_BIO_DATA
T035,QC_STATS_REPORT
T035,VISUALIZATION_RESULT
T036,CLINICAL_DATA_EXCEL
T036,VISUALIZATION_RESULT
T036,QC_STATS_REPORT
T037,TABULAR_BIO_DATA
T037,QC_STATS_REPORT
T037,VISUALIZATION_RESULT
T038,MUTATION_ANNOTATION_FORMAT_MAF
T038,TABULAR_BIO_DATA
T038,VISUALIZATION_RESULT
T039,TABULAR_BIO_DATA
T039,VISUALIZATION_RESULT
T040,TABULAR_BIO_DATA
T040,VISUALIZATION_RESULT
T041,VISUALIZATION_RESULT
T041,QC_STATS_REPORT
T042,QC_STATS_REPORT
T043,VISUALIZATION_RESULT
T043,TABULAR_BIO_DATA
T044,QC_STATS_REPORT
T044,TABULAR_BIO_DATA
T045,QC_STATS_REPORT
T046,QC_STATS_REPORT
T047,QC_STATS_REPORT
T047,TABULAR_BIO_DATA
T048,QC_STATS_REPORT
T048,TABULAR_BIO_DATA
T049,VISUALIZATION_RESULT
T049,QC_STATS_REPORT
T049,TABULAR_BIO_DATA
T050,QC_STATS_REPORT
T050,TABULAR_BIO_DATA
T051,TABULAR_BIO_DATA
T051,VISUALIZATION_RESULT
T051,QC_STATS_REPORT
T052,TABULAR_BIO_DATA
T052,QC_STATS_REPORT
T052,VISUALIZATION_RESULT
T053,VISUALIZATION_RESULT
T053,QC_STATS_REPORT
T054,QC_STATS_REPORT
T055,QC_STATS_REPORT
T055,TABULAR_BIO_DATA
T056,QC_STATS_REPORT
T057,TABULAR_BIO_DATA
T057,QC_STATS_REPORT
T058,DNA_GENOMIC_ALIGNMENT_BAM
T058,TABULAR_BIO_DATA
T058,QC_STATS_REPORT
T058,VISUALIZATION_RESULT
T059,QC_STATS_REPORT
T059,RAW_PAIRED_END_R1_FASTQ
T059,RAW_PAIRED_END_R2_FASTQ
T059,DNA_GENOMIC_ALIGNMENT_BAM
T059,RNA_TRANSCRIPTOME_ALIGNMENT_BAM
T059,TABULAR_BIO_DATA
T060,TABULAR_BIO_DATA
T060,SCRNA_OBJECT_RDS
T060,QC_STATS_REPORT
T060,VISUALIZATION_RESULT
T061,VISUALIZATION_RESULT
T061,QC_STATS_REPORT
T061,TABULAR_BIO_DATA
T062,QC_STATS_REPORT
T063,VISUALIZATION_RESULT
T063,QC_STATS_REPORT
T063,TABULAR_BIO_DATA
T064,DNA_GENOMIC_ALIGNMENT_BAM
T064,DNA_VARIANT_VCF_GENERAL
T064,DNA_VARIANT_INDEX_TBI
T064,QC_STATS_REPORT
T065,QC_STATS_REPORT
T065,TABULAR_BIO_DATA
T066,QC_STATS_REPORT
T066,TABULAR_BIO_DATA
