sample_accession,specimen_types,tissue_type
HRS023383,Blood,Normal
HRS023384,Blood,Normal
HRS023385,Blood,Normal
HRS023386,Blood,Normal
HRS023387,Blood,Normal
HRS023388,Blood,Normal
HRS023389,Blood,Normal
HRS023390,Blood,Normal
HRS023391,Blood,Normal
HRS023392,Blood,Normal
HRS023393,Blood,Normal
HRS023394,Blood,Normal
HRS023395,Blood,Normal
HRS023396,Blood,Normal
HRS023397,Blood,Normal
HRS023398,Blood,Normal
HRS023399,Blood,Normal
HRS023400,Blood,Normal
HRS023401,Blood,Normal
HRS023402,Blood,Normal
HRS023403,Blood,Normal
HRS023404,Blood,Normal
HRS023405,Blood,Normal
HRS023406,Blood,Normal
HRS023407,Blood,Normal
HRS023408,Blood,Normal
HRS023409,Blood,Normal
HRS023410,Blood,Normal
HRS023411,Blood,Normal
HRS023412,Blood,Normal
HRS023413,Blood,Normal
HRS023414,Blood,Normal
HRS023415,Blood,Normal
HRS023416,Blood,Normal
HRS023417,Blood,Normal
HRS023418,Blood,Normal
HRS023419,Blood,Normal
HRS023420,Blood,Normal
HRS023421,Blood,Normal
HRS023422,Blood,Normal
HRS023423,Blood,Normal
HRS023424,Blood,Normal
HRS023425,Blood,Normal
HRS023426,Blood,Normal
HRS023427,Blood,Normal
HRS023428,Blood,Normal
HRS023429,Blood,Normal
HRS023430,Blood,Normal
HRS023431,Blood,Normal
HRS023432,Blood,Normal
HRS023433,Blood,Normal
HRS023434,Blood,Normal
HRS023435,Blood,Normal
HRS023436,Blood,Normal
HRS023437,Blood,Normal
HRS023438,Blood,Normal
HRS023439,Blood,Normal
HRS023440,Blood,Normal
HRS023441,Blood,Normal
HRS023442,Blood,Normal
HRS023443,Blood,Normal
HRS023444,Blood,Normal
HRS023445,Blood,Normal
HRS023446,Blood,Normal
HRS023447,Blood,Normal
HRS023448,Blood,Normal
HRS023449,Blood,Normal
HRS023450,Blood,Normal
HRS023451,Blood,Normal
HRS023452,Blood,Normal
HRS023453,Blood,Normal
HRS023454,Blood,Normal
HRS023455,Blood,Normal
HRS023456,Blood,Normal
HRS023457,Blood,Normal
HRS023458,Blood,Normal
HRS023459,Blood,Normal
HRS023460,Blood,Normal
HRS023461,Blood,Normal
HRS023462,Blood,Normal
HRS023463,Blood,Normal
HRS023464,Blood,Normal
HRS023465,Blood,Normal
HRS023466,Blood,Normal
HRS023467,Blood,Normal
HRS023468,Blood,Normal
HRS023469,Blood,Normal
HRS023470,Blood,Normal
HRS023471,Blood,Normal
HRS023472,Blood,Normal
HRS023473,Blood,Normal
HRS023474,Blood,Normal
HRS023475,Blood,Normal
HRS023476,Blood,Normal
HRS023477,Blood,Normal
HRS023478,Blood,Normal
HRS023479,Blood,Normal
HRS023480,Blood,Normal
HRS023481,Blood,Normal
HRS023482,Blood,Normal
HRS023483,Blood,Normal
HRS023484,Blood,Normal
HRS023485,Blood,Normal
HRS023486,Blood,Normal
HRS023487,Blood,Normal
HRS023488,Blood,Normal
HRS023489,Blood,Normal
HRS023490,Blood,Normal
HRS023491,Blood,Normal
HRS023492,Blood,Normal
HRS023493,Blood,Normal
HRS023494,Blood,Normal
HRS023495,Blood,Normal
HRS023496,Blood,Normal
HRS023497,Blood,Normal
HRS023498,Blood,Normal
HRS023499,Blood,Normal
HRS023500,Blood,Normal
HRS023501,Blood,Normal
HRS023502,Blood,Normal
HRS023503,Blood,Normal
HRS023504,Blood,Normal
HRS023505,Blood,Normal
HRS023506,Blood,Normal
HRS023507,Blood,Normal
HRS023508,Blood,Normal
HRS023509,Blood,Normal
HRS023510,Blood,Normal
HRS023511,Blood,Normal
HRS023512,Blood,Normal
HRS023513,Blood,Normal
HRS023514,Blood,Normal
HRS023515,Blood,Normal
HRS023516,Blood,Normal
HRS023517,Blood,Normal
HRS023518,Blood,Normal
HRS023519,Blood,Normal
HRS023520,Blood,Normal
HRS023521,Blood,Normal
HRS023522,Blood,Normal
HRS023523,Blood,Normal
HRS023524,Blood,Normal
HRS023525,Blood,Normal
HRS023526,Blood,Normal
HRS023527,Blood,Normal
HRS023528,Blood,Normal
HRS023529,Blood,Normal
HRS023530,Blood,Normal
HRS023531,Blood,Normal
HRS023532,Blood,Normal
HRS023533,Blood,Normal
HRS023534,Blood,Normal
HRS023535,Blood,Normal
HRS023536,Blood,Normal
HRS023537,Blood,Normal
HRS023538,Blood,Normal
HRS023539,Blood,Normal
HRS023540,Blood,Normal
HRS023541,Blood,Normal
HRS023542,Blood,Normal
HRS023543,Blood,Normal
HRS023544,Blood,Normal
HRS023545,Blood,Normal
HRS023546,Blood,Normal
HRS023547,Blood,Normal
HRS023548,Blood,Normal
HRS023549,Blood,Normal
HRS023550,Blood,Normal
HRS023551,Blood,Normal
HRS023552,Blood,Normal
HRS023553,Blood,Normal
HRS023554,Blood,Normal
HRS023555,Blood,Normal
HRS023556,Blood,Normal
HRS023557,Blood,Normal
HRS023558,Blood,Normal
HRS023559,Blood,Normal
HRS023560,Blood,Normal
HRS023561,Blood,Normal
HRS023562,Blood,Normal
HRS023563,Blood,Normal
HRS023564,Blood,Normal
HRS023565,Blood,Normal
HRS023566,Blood,Normal
HRS023567,Blood,Normal
HRS023568,Blood,Normal
HRS023569,Blood,Normal
HRS023570,Blood,Normal
HRS023571,Blood,Normal
HRS023572,Blood,Normal
HRS023573,Blood,Normal
HRS023574,Blood,Normal
HRS023575,Blood,Normal
HRS023576,Blood,Normal
HRS023577,Blood,Normal
HRS023578,Blood,Normal
HRS023579,Blood,Normal
HRS023580,Blood,Normal
HRS023581,Blood,Normal
HRS023582,Blood,Normal
HRS023583,Blood,Normal
HRS023584,Blood,Normal
HRS023585,Blood,Normal
HRS023586,Blood,Normal
HRS023587,Blood,Normal
HRS023588,Blood,Normal
HRS023589,Blood,Normal
HRS023590,Blood,Normal
HRS023591,Blood,Normal
HRS023592,Blood,Normal
HRS023593,Blood,Normal
HRS023594,Blood,Normal
HRS023595,Blood,Normal
HRS023596,Blood,Normal
HRS023597,Blood,Normal
HRS023598,Blood,Normal
