study_accession,individual_accession,sample_accession,experiment_accession,run_accession,file_name,file_path,file_format,strategy,T1_id,semantic_format,size,platform,data_level,individual_name,sample_name
HRA000021,HRI035286,HRS039792,HRX048834,HRR067347,HRR067347_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067347_1.fastq.gz,fastq.gz,WGS,HRR067347_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067347_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0004,BDESCC0004N
HRA000021,HRI035286,HRS039792,HRX048834,HRR067347,HRR067347_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067347_2.fastq.gz,fastq.gz,WGS,HRR067347_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067347_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0004,BDESCC0004N
HRA000021,HRI035286,HRS039793,HRX048835,HRR067348,HRR067348_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067348_1.fastq.gz,fastq.gz,WGS,HRR067348_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067348_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0004,BDESCC0004T
HRA000021,HRI035286,HRS039793,HRX048835,HRR067348,HRR067348_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067348_2.fastq.gz,fastq.gz,WGS,HRR067348_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067348_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0004,BDESCC0004T
HRA000021,HRI035287,HRS039794,HRX048836,HRR067349,HRR067349_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067349_1.fastq.gz,fastq.gz,WGS,HRR067349_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067349_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0006,BDESCC0006N
HRA000021,HRI035287,HRS039794,HRX048836,HRR067349,HRR067349_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067349_2.fastq.gz,fastq.gz,WGS,HRR067349_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067349_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0006,BDESCC0006N
HRA000021,HRI035287,HRS039795,HRX048837,HRR067350,HRR067350_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067350_1.fastq.gz,fastq.gz,WGS,HRR067350_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067350_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0006,BDESCC0006T
HRA000021,HRI035287,HRS039795,HRX048837,HRR067350,HRR067350_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067350_2.fastq.gz,fastq.gz,WGS,HRR067350_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067350_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0006,BDESCC0006T
HRA000021,HRI035288,HRS039796,HRX048838,HRR067351,HRR067351_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067351_1.fastq.gz,fastq.gz,WGS,HRR067351_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067351_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0007,BDESCC0007N
HRA000021,HRI035288,HRS039796,HRX048838,HRR067351,HRR067351_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067351_2.fastq.gz,fastq.gz,WGS,HRR067351_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067351_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0007,BDESCC0007N
