project_accession,study_accession,project_name,relevance,data_type,organism,project_description,sample_scope,project_code,data_types,individual_count,country,tumor_type,tumor_subtype,organization,release_date,submission_date,information_source
PRJCA002760,HRA000021,Whole Genome Sequencing  in Esophageal Squamous Cell Carcinoma,Medical,Whole genome sequencing,Homo sapiens,"In this project, we performed deep WGS in microneedle-punctured formalin fixed paraffin embedded tumor tissues and matched adjacent noncancerous specimens on a large set of ESCC patients with clinical follow up data. Herein, we classify ESCC into three main subtypes based on clinically relevant genomic alterations and implicate the association of these subtypes with outcomes of patients. Our genomic study uncovers an extensive landscape of driver genetic alterations across coding and noncoding regions, and defines their potential molecular pathology in ESCC.",Monoisolate,ESCC_CICAMS_2,Whole genome sequencing,508,China,Esophageal Cancer,Esophageal Squamous Cell Carcinoma,"National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College",2020-05-29,2020-05-29,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA002760
PRJCA001636,HRA000071,Chinese Glioma Genome Altas (CGGA) - WES dataset,Medical,Exome,Homo sapiens,WES dataset from Chinese Glioma Genome Altas (CGGA),Multiisolate,,Exome,,,,,Beijing Neurosurgical Institute,2019-08-05,2019-08-05,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA001636
PRJCA001746,HRA000073,Chinese Glioma Genome Altas (CGGA) - RNA-seq dataset (325),Medical,Transcriptome or Gene expression,Homo sapiens,RNA-seq dataset of 325 gliomas from Chinese Glioma Genome Altas (CGGA),Multiisolate,,Transcriptome or Gene expression,,,,,Beijing Neurosurgical Institute,2019-09-29,2019-09-12,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA001746
PRJCA001747,HRA000074,Chinese Glioma Genome Altas (CGGA) - RNA-seq dataset (693),Medical,Transcriptome or Gene expression,Homo sapiens,RNA-seq dataset of 693 gliomas from Chinese Glioma Genome Altas (CGGA),Multiisolate,CGGA,Transcriptome or Gene expression,286,China,Glioma,High grade glioma,Beijing Neurosurgical Institute,2019-09-29,2019-09-12,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA001747
PRJCA001868,HRA000087,Single-cell RNA analysis reveals an epithelial-immune dual feature of tumor cells in nasopharyngeal carcinoma,Medical,Whole genome sequencing; Transcriptome or Gene expression,Homo sapiens,"We performed single-cell RNA-seq on nasopharyngeal biopsies to define the complex interplay between tumor cells, virus infection, and the TME at single-cell resolution. Our results provide new insights into the multicellular ecosystem of NPC and offer important clinical implications.",Single cell,,Whole genome sequencing; Transcriptome or Gene expression,,,,,Peking University,2022-05-28,2019-10-25,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA001868
PRJCA002270,HRA000122,Integrated Genomic Analyses Identify High-Risk Factors Associated with Poor Outcomes of T-ALL,Medical,Exome; Transcriptome or Gene expression,Homo sapiens,"T-ALL is an aggressive hematologic malignancy and adult T-ALLs are often associated with poor outcomes. Recent large-scale genomic landscape studies have identified frequently mutated genes and dysregulated pathways in major subtypes of T-ALLs1-3. However, few of these large-scale genomic analyses contain survival-related data, which makes molecular-based prognosis and designs of new targeted therapies difficult. In this study, we performed integrated genomic and transcriptomic analyses on samples from 137 pediatric and adult T-ALL patients, of which 90% have outcome information. Out of 54 recurrently mutated genes, we identified poor outcome-associated mutations in EZH2, ASXL1, KRAS, IDH2, JAK3, RB1, KMT2C, TCF7 gene (high-risk gene) and in the RAS pathway. The status of the high-risk gene and RAS pathway mutation groups were independent predictors than factors related with age and clinical features. By combining public datasets, we demonstrated that Asian and adult T-ALLs had higher rates of high-risk gene and Ras pathway mutations than that of Caucasian and pediatric T-ALLs. We also found that differentially expressed genes in early T progenitor ALL (ETP ALL) subtype were largely controlled by the transcription factor PU.1 and that the PU.1-TIM3-GAL-9 regulatory loop was essential for the formation and maintenance of ETP ALL.",Monoisolate,AML_SCMC,Exome; Transcriptome or Gene expression,165,China,Leukemia,Acute T cell leukemia,Peking University,2021-12-01,2020-02-25,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA002270
PRJCA004622,HRA000873,Whole  exome sequencing  of patients with CRC from the Changkang project,Medical,Exome; Raw sequence reads,Homo sapiens,"Colorectal cancer (CRC) is a heterogeneous disease with high varieties in genetics, while the genomic basis of CRC and their clinical associations remain poorly understood. Aiming to establish a large genomic and clinical database of patients with colorectal cancer from Chinese population to provide information for early screening and diagnosis, prognostic evaluation, postoperative recurrence monitoring, individualized medication, efficacy evaluation, and drug resistance analysis for patients with CRC, we launched the ChangKang project. Here, as part of the ChangKang Project, we performed ultra-deep whole exome sequencing (WES) of more than 1000 patients with CRC.",Multiisolate,CRC_SYSUCC,Exome; Raw sequence reads,1015,China,Colorectal Cancer,Colorectal Cancer,Sun Yat-sen University,2022-03-11,2021-03-08,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA004622
PRJCA006273,HRA001272,Integrated genomic and transcriptomic profiling dissects spatiotemporal evolution of metastatic hepatocellular carcinoma,Medical,Exome; Transcriptome or Gene expression; Raw sequence reads,Homo sapiens,"Comprehensive molecular analysis of metastatic hepatocellular carcinoma (HCC) is lacking. Here, we performed whole-exome and transcriptome sequencing of 269 primary, 114 intrahepatic recurrent, and 118 extrahepatic metastatic regions from 224 HCC patients and shed light on the complexity of HCC metastasis evolutionary trajectories and immune crosstalk, which laid foundation for elucidating mechanisms and the therapeutic vulnerabilities of metastatic HCC.",Multiisolate,HCC_SHTech,Exome; Transcriptome or Gene expression; Raw sequence reads,206,China,Liver Cancer,Hepatocellular carcinoma,ShanghaiTech University,2022-10-01,2021-08-21,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA006273
PRJCA007744,HRA001748;HRA001749,scRNA-seq of liver cancer,Medical,Single cell sequencing,Homo sapiens,scRNA-seq of liver cancer,Single cell,HCC_PKUHSC,Single cell sequencing,124,China,Liver Cancer,Liver Cancer,Peking University First Hospital,2022-07-29,2021-12-29,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA007744
PRJCA010519,HRA002693,Multi-center RNA sequencing analysis for acute myeloid leukemia,Medical,Transcriptome or Gene expression; Raw sequence reads,Homo sapiens,"We established the largest multi-center AML cohort (n = 655) with RNA-Seq data in China, in order to refine the genome-based molecular classification of acute myeloid leukemia (AML).",Multiisolate,,Transcriptome or Gene expression; Raw sequence reads,,,,,Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine,2022-12-20,2022-07-14,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA010519
