study_accession,title,study_description,study_type,individual_count,sample_count,information_source,tumor_type
HRA000021,ESCC WGS study,Whole Genome Sequencing in Esophageal Squamous Cell Carcinoma,Disease Study,508,1016,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000021,Esophageal Cancer
HRA000071,,Chinese Glioma Genome Altas (CGGA) - WES dataset,Disease Study,286,572,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000071,Malignant Glioma
HRA000073,Chinese Glioma Genome Altas (CGGA),Chinese Glioma Genome Altas (CGGA) - RNA-seq dataset (325),Disease Study,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000073,Malignant Glioma
HRA000074,Chinese Glioma Genome Altas (CGGA),Chinese Glioma Genome Altas (CGGA) - RNA-seq dataset (693),Disease Study,286,572,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000074,Malignant Glioma
HRA000087,"This project includes scRNA-seq, WGS and bulk RNA-seq data for NPC and Exon-seq, WGBS, EBV tageted-seq for EBV+GC","Single-cell transcriptomic analysis defines the interplay between tumor cells, viral infection, and the microenvironment in nasopharyngeal carcinoma",Disease Study,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000087,Nasopharynx Carcinoma
HRA000122,Innovation Center for Genomics from Peking-Tsinghua Center for Life Sciences,Integrated Genomic Analyses Identify High-Risk Factors and Actionable Targets in T-Cell Acute Lymphoblastic Leukemia,Disease Study,165,287,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000122,Acute T Cell Leukemia
HRA000873,Sun Yat-sen University Cancer Center,Whole exome sequencing of patients with CRC from the Changkang project,Disease Study,1015,2030,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000873,Colorectal Adenocarcinoma
HRA001272,Integrated genomic and transcriptomic profiling dissects spatiotemporal evolution of metastatic hepatocellular carcinoma,Integrated genomic and transcriptomic profiling dissects spatiotemporal evolution of metastatic hepatocellular carcinoma,Disease Study,206,698,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001272,Hepatocellular Carcinoma
HRA001748,DAC for scPLC_A160,scRNA-seq of liver cancer,Disease Study,124,160,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001748,Liver Cancer
HRA001749,DAC for scPLC_A160,WES of liver cancer,Disease Study,84,178,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001749,Liver Cancer
HRA002693,"Shanghai Institute of Hematology, State Key Laboratory of Medical Genomics, National Research Center for Translational Medicine at Shanghai, Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200025, China",Transcriptome-based molecular subtypes and differentiation hierarchies improve the classification framework of acute myeloid leukemia,Disease Study,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002693,Acute Myeloid Leukemia
HRA003107,ESCC WGS study,Multi-omics integrative analysis of esophageal squamous carcinoma,Disease Study,155,310,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003107,Esophageal Cancer
HRA005191,"BIOPIC, Beijing Advanced Innovation Center for Genomics, and School of Life Sciences",Immune Correlates of Response and Resistance to Neoadjuvant Chemo-immunotherapy in Non-small Cell Lung Cancer,Disease Study,243,243,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005191,Non-Small Cell Lung Carcinoma
HRA006117,"Shanghai Institute of Hematology, State Key Laboratory of Medical Genomics, National Research Center for Translational Medicine at Shanghai, Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200025, China",Aging and comprehensive molecular profiling in acute myeloid leukemia,Disease Study,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006117,Acute Myeloid Leukemia
HRA006499,This is the DAC for PLC PDO bio-bank,Pharmacogenomic profiling of intra-tumor heterogeneity by a large organoid biobank of liver cancer,Disease Study,105,482,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006499,Liver Cancer
HRA007167,DAC for AM data,Bulk RNA-seq of acral melanoma,Disease Study,81,81,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007167,Melanoma
HRA007169,DAC for AM data,WES of acral melanoma,Disease Study,90,168,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007169,Melanoma
HRA007413,"Shanghai Institute of Hematology, State Key Laboratory of Medical Genomics, National Research Center for Translational Medicine at Shanghai, Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200025, China",Proteomic features and therapeutics of acute myeloid leukemia,Disease Study,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007413,Acute Myeloid Leukemia
HRA016026,CBB,Multi-omics characterization of CBB in Lung Cancer using WES and RNA-seq,Disease Study,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016026,Lung Cancer
HRA000001,CASPMI,Whole genome sequencing,Healthy Study,557,557,,
