t1_id,semantic_format
HRA000021-Clinical-1.0.xlsx::/hpcdisk1/cbb_group/data/HRA000021/HRA000021-Clinical-1.0.xlsx,CLINICAL_DATA_EXCEL
HRA000021-MetaInfo-1.0.xlsx::/hpcdisk1/cbb_group/data/HRA000021/HRA000021-MetaInfo-1.0.xlsx,METADATA_SAMPLE_INFO
HRR067347_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067347_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067347_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067347_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067348_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067348_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067348_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067348_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067349_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067349_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067349_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067349_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067350_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067350_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067350_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067350_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067351_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067351_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067351_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067351_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067352_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067352_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067352_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067352_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067353_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067353_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067354_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067354_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067355_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067355_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067356_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067356_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067357_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067357_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
