T1_id,sample_accession
HRR067347_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067347_1.fastq.gz,HRS039792
HRR067347_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067347_2.fastq.gz,HRS039792
HRR067348_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067348_1.fastq.gz,HRS039793
HRR067348_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067348_2.fastq.gz,HRS039793
HRR067349_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067349_1.fastq.gz,HRS039794
HRR067349_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067349_2.fastq.gz,HRS039794
HRR067350_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067350_1.fastq.gz,HRS039795
HRR067350_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067350_2.fastq.gz,HRS039795
HRR067351_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067351_1.fastq.gz,HRS039796
HRR067351_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067351_2.fastq.gz,HRS039796
HRR067352_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067352_1.fastq.gz,HRS039797
HRR067352_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067352_2.fastq.gz,HRS039797
HRR067353_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_1.fastq.gz,HRS039798
HRR067353_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067353_2.fastq.gz,HRS039798
HRR067354_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_1.fastq.gz,HRS039799
HRR067354_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067354_2.fastq.gz,HRS039799
HRR067355_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_1.fastq.gz,HRS039800
HRR067355_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067355_2.fastq.gz,HRS039800
HRR067356_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_1.fastq.gz,HRS039801
HRR067356_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067356_2.fastq.gz,HRS039801
HRR067357_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_1.fastq.gz,HRS039802
HRR067357_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_2.fastq.gz,HRS039802
HRR067358_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_1.fastq.gz,HRS039803
HRR067358_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_2.fastq.gz,HRS039803
HRR067359_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_1.fastq.gz,HRS039804
HRR067359_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_2.fastq.gz,HRS039804
HRR067360_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_1.fastq.gz,HRS039805
HRR067360_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_2.fastq.gz,HRS039805
HRR067361_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_1.fastq.gz,HRS039806
HRR067361_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_2.fastq.gz,HRS039806
HRR067362_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_1.fastq.gz,HRS039807
HRR067362_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_2.fastq.gz,HRS039807
HRR067363_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_1.fastq.gz,HRS039808
HRR067363_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_2.fastq.gz,HRS039808
HRR067364_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_1.fastq.gz,HRS039809
HRR067364_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067364_2.fastq.gz,HRS039809
HRR067365_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_1.fastq.gz,HRS039810
HRR067365_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067365_2.fastq.gz,HRS039810
HRR067366_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_1.fastq.gz,HRS039811
HRR067366_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067366_2.fastq.gz,HRS039811
HRR067367_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_1.fastq.gz,HRS039812
HRR067367_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067367_2.fastq.gz,HRS039812
HRR067368_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_1.fastq.gz,HRS039813
HRR067368_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067368_2.fastq.gz,HRS039813
HRR067369_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_1.fastq.gz,HRS039814
HRR067369_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067369_2.fastq.gz,HRS039814
HRR067370_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067370_1.fastq.gz,HRS039815
