tool_id,modal
T001,WES
T002,sc-RNA
T002,WGS
T002,WES
T002,bulk_RNA
T003,sc-RNA
T003,bulk_RNA
T004,bulk_RNA
T005,bulk_RNA
T006,WES
T007,WGS
T007,WES
T007,bulk_RNA
T008,WES
T009,WES
T010,WGS
T010,WES
T011,bulk_RNA
T012,bulk_RNA
T013,WGS
T013,WES
T013,bulk_RNA
T029,bulk_RNA
T030,bulk_RNA
T031,WES
T031,Clinical
T032,bulk_RNA
T032,Clinical
T033,bulk_RNA
T033,Clinical
T034,WES
T035,bulk_RNA
T036,Clinical
T036,WES
T037,Clinical
T037,WES
T038,WES
T039,bulk_RNA
T039,Clinical
T040,bulk_RNA
T041,sc-RNA
T041,bulk_RNA
T042,sc-RNA
T042,bulk_RNA
T043,WGS
T043,WES
T043,Clinical
T044,bulk_RNA
T044,Clinical
T045,sc-RNA
T046,sc-RNA
T047,bulk_RNA
T047,Clinical
T048,bulk_RNA
T048,Clinical
T049,bulk_RNA
T049,Clinical
T050,bulk_RNA
T050,Clinical
T051,bulk_RNA
T052,sc-RNA
T052,bulk_RNA
T053,sc-RNA
T054,sc-RNA
T054,bulk_RNA
T055,bulk_RNA
T055,Clinical
T056,sc-RNA
T057,bulk_RNA
T058,bulk_RNA
T059,bulk_RNA
T060,sc-RNA
T060,bulk_RNA
T061,bulk_RNA
T061,Clinical
T062,sc-RNA
T062,bulk_RNA
T063,bulk_RNA
T063,Clinical
T064,WGS
T064,WES
T065,bulk_RNA
T065,Clinical
T066,bulk_RNA
T066,Clinical
