identity,labels,format,description
catalog_format:bai,CatalogFormat|catalog_format,bai,
catalog_format:bam,CatalogFormat|catalog_format,bam,Aligned reads format
catalog_format:csv,catalog_format,csv,Comma-separated values format
catalog_format:database,CatalogFormat|catalog_format,database,
catalog_format:dir,catalog_format,dir,wenjianjia
catalog_format:fasta,CatalogFormat|catalog_format,fasta,
catalog_format:fq.gz,CatalogFormat|catalog_format,fq.gz,Raw sequencing reads format (gzipped)
catalog_format:gtf,CatalogFormat|catalog_format,gtf,
catalog_format:gz,catalog_format,gz,Gzip compressed format
catalog_format:html,CatalogFormat|catalog_format,html,
catalog_format:html/txt,CatalogFormat|catalog_format,html/txt,
catalog_format:index,CatalogFormat|catalog_format,index,
catalog_format:json,CatalogFormat|catalog_format,json,JSON format
catalog_format:list,catalog_format,list,List format (plain text)
catalog_format:log,CatalogFormat|catalog_format,log,
catalog_format:maf,catalog_format,maf,Mutation annotation format
catalog_format:pdf,catalog_format,pdf,Portable Document Format
catalog_format:png,catalog_format,png,Portable Network Graphics format
catalog_format:sam,CatalogFormat|catalog_format,sam,
catalog_format:tbi,CatalogFormat|catalog_format,tbi,
catalog_format:tsv,CatalogFormat|catalog_format,tsv,Tab-separated values format
catalog_format:txt,CatalogFormat|catalog_format,txt,Plain text format
catalog_format:txt/html,CatalogFormat|catalog_format,txt/html,
catalog_format:vcf,CatalogFormat|catalog_format,vcf,Variant call format
catalog_format:xls,catalog_format,xls,Excel Binary Spreadsheet format
catalog_format:xlsx,catalog_format,xlsx,Excel Open XML Spreadsheet format
catalog_format:zip,CatalogFormat|catalog_format,zip,
catalog_format:interval_list,CatalogFormat|catalog_format,interval_list,GATK interval list
catalog_format:rds,CatalogFormat|catalog_format,rds,R serialized object (Seurat/SingleCellExperiment)
catalog_format:h5,CatalogFormat|catalog_format,h5,HDF5 matrix container
catalog_format:tab,CatalogFormat|catalog_format,tab,Tab-delimited table without a .tsv suffix
