type,start,end,properties_json
ALLOW_FORMAT,io_slot:bcftools::input::unfiltered_vcf,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:bcftools::output::filtered_vcf,catalog_format:tbi,{}
ALLOW_FORMAT,io_slot:bcftools::output::filtered_vcf,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:bwa::input::clean_fastq_read,catalog_format:fasta,{}
ALLOW_FORMAT,io_slot:bwa::input::clean_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:bwa::input::clean_fastq_read,catalog_format:index,{}
ALLOW_FORMAT,io_slot:bwa::input::genome_annotation,catalog_format:fasta,{}
ALLOW_FORMAT,io_slot:bwa::input::genome_annotation,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:bwa::input::genome_annotation,catalog_format:index,{}
ALLOW_FORMAT,io_slot:bwa::output::aligned_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:bwa::output::aligned_bam,catalog_format:sam,{}
ALLOW_FORMAT,io_slot:diff_expr_go::in::expression,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_go::out::differential,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_go::out::enrichment,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_kegg::in::expression,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_kegg::out::differential,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_kegg::out::enrichment,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::in::clinical,catalog_format:xls,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::in::clinical,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::in::maf,catalog_format:maf,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::in::metainfo,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::figures,catalog_format:pdf,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::figures,catalog_format:png,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::matrix,catalog_format:gz,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::matrix,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::statistics,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:fastp::input::raw_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:fastp::output::clean_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:fastp::output::clean_fastq_read,catalog_format:html,{}
ALLOW_FORMAT,io_slot:fastp::output::clean_fastq_read,catalog_format:json,{}
ALLOW_FORMAT,io_slot:fastqc::input::clean_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:fastqc::input::raw_fastq_read,catalog_format:fq.gz,{}
ALLOW_FORMAT,io_slot:fastqc::output::quality_control_report,catalog_format:html,{}
ALLOW_FORMAT,io_slot:fastqc::output::quality_control_report,catalog_format:zip,{}
ALLOW_FORMAT,io_slot:featurecounts::input::genome_annotation,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:featurecounts::input::genome_annotation,catalog_format:gtf,{}
ALLOW_FORMAT,io_slot:featurecounts::input::sorted_dedup_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:featurecounts::input::sorted_dedup_bam,catalog_format:gtf,{}
ALLOW_FORMAT,io_slot:featurecounts::output::expression_count_matrix,catalog_format:txt,{}
ALLOW_FORMAT,io_slot:gatk::input::genome_annotation,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:gatk::input::genome_annotation,catalog_format:fasta,{}
ALLOW_FORMAT,io_slot:gatk::input::genome_annotation,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:gatk::input::sorted_dedup_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:gatk::input::sorted_dedup_bam,catalog_format:fasta,{}
ALLOW_FORMAT,io_slot:gatk::input::sorted_dedup_bam,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:gatk::output::sorted_dedup_bam,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:gatk::output::sorted_dedup_bam,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:gatk::output::unfiltered_vcf,catalog_format:bam,{}
ALLOW_FORMAT,io_slot:gatk::output::unfiltered_vcf,catalog_format:vcf,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::in::clinical,catalog_format:xls,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::in::clinical,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::in::expression,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::in::metainfo,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::figures,catalog_format:pdf,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::figures,catalog_format:png,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::statistics,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::summary,catalog_format:json,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::summary,catalog_format:txt,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::in::clinical,catalog_format:xls,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::in::clinical,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::in::expression,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::in::metainfo,catalog_format:xlsx,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::figures,catalog_format:pdf,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::figures,catalog_format:png,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::fractions,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::qc,catalog_format:json,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::qc,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::qc,catalog_format:txt,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,catalog_format:html,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,catalog_format:log,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,catalog_format:zip,{}
ALLOW_FORMAT,io_slot:multiqc::output::quality_control_report,catalog_format:html,{}
ALLOW_FORMAT,io_slot:multiqc::output::quality_control_report,catalog_format:tsv,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::in::fastq_1,catalog_format:fq.gz,{}
