tool_id,语义输入格式
T001,Raw FASTQ
T002,Raw FASTQ
T002,Clean FASTQ
T006,Clean FASTQ
T006,Genome Annotation
T007,Aligned SAM/BAM
T008,Sorted/Dedup BAM
T008,Genome Annotation
T009,Unfiltered VCF
T010,Filtered (PASS) VCF
T010,Genome Annotation
T004,Raw FASTQ
T005,Clean FASTQ
T005,Genome Annotation
T011,Transcriptome BAM
T011,Genome Annotation
T012,Sorted/Dedup BAM
T012,Genome Annotation
T013,Quality Control Report
T029,TPM / FPKM
T029,Sample Metadata
T030,TPM / FPKM
T030,Sample Metadata
T031,Public Somatic MAF
T031,Sample Metadata
T032,TPM / FPKM
T032,Sample Metadata
T033,TPM / FPKM
T033,Sample Metadata
T034,Raw FASTQ
T035,Raw Counts
T036,Public Somatic MAF
T036,Sample Metadata
T037,Public Somatic MAF
T037,Sample Metadata
T038,Public Somatic MAF
T039,TPM / FPKM
T039,Sample Metadata
