tool_id,语义输出格式
T001,Clean FASTQ
T002,Quality Control Report
T006,Aligned SAM/BAM
T007,Sorted/Dedup BAM
T008,Sorted/Dedup BAM
T008,Unfiltered VCF
T009,Filtered (PASS) VCF
T010,Annotated VCF
T004,Clean FASTQ
T005,Clean FASTQ
T005,Aligned SAM/BAM
T005,Transcriptome BAM
T011,TPM / FPKM
T012,Raw Counts
T013,Quality Control Report
T029,DE Result
T030,DE Result
T031,Processed Object
T032,Processed Object
T033,Processed Object
T034,uBAM (Unmapped)
T035,Processed Object
T036,Processed Object
T037,Processed Object
T038,Public Somatic MAF
T039,Processed Object
