tool_id,next_tool_id,kind,output,input
T001,T002,data,clean_fastq_read,clean_fastq_read
T002,T004,order,,
T006,T007,data,aligned_bam,aligned_bam
T007,T008,data,sorted_dedup_bam,sorted_dedup_bam
T008,T009,data,unfiltered_vcf,unfiltered_vcf
T009,T010,data,filtered_vcf,filtered_vcf
T004,T005,data,clean_fastq_read,clean_fastq_read
T005,T011,data,transcriptome_bam,transcriptome_bam
T005,T007,data,aligned_bam,aligned_bam
T007,T012,data,sorted_dedup_bam,sorted_dedup_bam
T001,T006,data,clean_fastq_read,clean_fastq_read
T001,T005,data,clean_fastq_read,clean_fastq_read
T001,T006,data,clean_fastq_read_r1,clean_fastq_read_r1
T001,T006,data,clean_fastq_read_r2,clean_fastq_read_r2
T007,T008,data,sorted_dedup_bam,tumor_bam
T007,T008,data,bai,tumor_bai
T007,T008,data,sorted_dedup_bam,normal_bam
T007,T008,data,bai,normal_bai
