study_accession,title,study_description,study_type,tumor_type,individual_count,sample_count,information_source
HRA000071,Chinese Glioma Genome Atlas (CGGA) - RNA-seq dataset (693),RNA-seq dataset of 693 gliomas from Chinese Glioma Genome Atlas (CGGA),Disease Study,Glioma,286,572,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000071
HRA000074,Chinese Glioma Genome Atlas (CGGA) - RNA-seq dataset (693),RNA-seq dataset of 693 gliomas from Chinese Glioma Genome Atlas (CGGA),Disease Study,Glioma,286,572,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000074
HRA007167,Multi-omics of acral melanoma,Multi-omic profiling of acral melanoma， including WES， LCM-based WES， bulk RNA， scRNA， and spatial transcriptome,Disease Study,Melanoma,90,168,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007167
HRA007169,Multi-omics of acral melanoma,Multi-omic profiling of acral melanoma， including WES， LCM-based WES， bulk RNA， scRNA， and spatial transcriptome,Disease Study,Melanoma,81,81,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007169
HRA001272,Integrated genomic and transcriptomic profiling dissects spatiotemporal evolution of metastatic hepatocellular carcinoma,Comprehensive molecular analysis of metastatic hepatocellular carcinoma (HCC) is lacking. Here， we performed whole-exome and transcriptome sequencing of 269 primary， 114 intrahepatic recurrent， and 118 extrahepatic metastatic regions from 224 HCC patients and shed light on the complexity of HCC metastasis evolutionary trajectories and immune crosstalk， which laid foundation for elucidating mechanisms and the therapeutic vulnerabilities of metastatic HCC.,Disease Study,Liver Cancer,206,698,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001272
HRA000122,Integrated Genomic Analyses Identify High-Risk Factors Associated with Poor Outcomes of T-ALL,T-ALL is an aggressive hematologic malignancy and adult T-ALLs are often associated with poor outcomes. Recent large-scale genomic landscape studies have identified frequently mutated genes and dysregulated pathways in major subtypes of T-ALLs1-3. However， few of these large-scale genomic analyses contain survival-related data， which makes molecular-based prognosis and designs of new targeted therapies difficult. In this study， we performed integrated genomic and transcriptomic analyses on samples from 137 pediatric and adult T-ALL patients， of which 90% have outcome information. Out of 54 recurrently mutated genes， we identified poor outcome-associated mutations in EZH2， ASXL1， KRAS， IDH2， JAK3， RB1， KMT2C， TCF7 gene (high-risk gene) and in the RAS pathway. The status of the high-risk gene and RAS pathway mutation groups were independent predictors than factors related with age and clinical features. By combining public datasets， we demonstrated that Asian and adult T-ALLs had higher rates of high-risk gene and Ras pathway mutations than that of Caucasian and pediatric T-ALLs. We also found that differentially expressed genes in early T progenitor ALL (ETP ALL) subtype were largely controlled by the transcription factor PU.1 and that the PU.1-TIM3-GAL-9 regulatory loop was essential for the formation and maintenance of ETP ALL.,Disease Study,Leukemia,165,287,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000122
HRA005191,Immune Correlates of Response and Resistance to Neoadjuvant Chemo-immunotherapy in Non-small Cell Lung Cancer,To understand mechanisms of primary resistance， we followed a sufficiently large cohort of NSCLC patients receiving neoadjuvant immunotherapy， and profiled post-treatment samples using single-cell RNA and T cell receptor (TCR) sequencing. By associating tumor immune microenvironment (TIME) with response， we uncovered heterogeneous mechanisms of response and major mechanisms of primary resistance， providing insights into strategic developments of combination regimens.,Disease Study,Lung Cancer,243,243,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005191
HRA001748,scRNA-seq of liver cancer,scRNA-seq of liver cancer,Disease Study,Liver Cancer,124,160,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001748
HRA001749,scRNA-seq of liver cancer,scRNA-seq of liver cancer,Disease Study,Liver Cancer,84,178,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001749
HRA006499,Pharmacogenomic profiling of intra-tumor heterogeneity by a large organoid biobank of liver cancer,Inter- and intra-tumor heterogeneity is a major hurdle in primary liver cancer (PLC) precision therapy. Here， we established a PLC biobank， consisting of 399 organoids derived from 144 patients， which recapitulated histopathology and genomic landscape of parental tumors， and were reliable for drug sensitivity screening， evidenced by both in vivo models and patient response. Integrative analysis dissected PLC heterogeneity， regarding genomic， transcriptomic characteristics and sensitivity to seven clinically-relevant drugs， as well as clinical associations. Pharmacogenomic analysis identified and validated multi-gene expression signatures predicting drug response for better patient stratification. Furthermore， c-Jun was revealed as a major mediator to Lenvatinib resistance， through JNK and β-catenin signaling. A new compound (PKUF-01) comprising moieties of Lenvatinib and Veratramine (c-Jun inhibitor) was synthesized and screened， exhibiting a marked synergistic effect. Together， our study characterized the landscape of PLC heterogeneity， developed predictive biomarker panels， and revealed a novel Lenvatinib resistant mechanism for combinatory therapy.,Disease Study,Liver Cancer,105,482,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006499
