study_accession,t2_id,files,file_type,format,size,data_level,size_bytes,file_path,strategy,run_accession,semantic_format,sample_accession,individual_accession
HRA000021,HRR067347.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067347.BQSR.bam,HRR067347.BQSR.bam,BAM-files,BQSR.bam,60.04 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067347.BQSR.bam,WES,HRR067347,DNA_ALIGNMENT_BQSR_BAM,HRS039792,HRI035286
HRA000021,HRR067855.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067855.BQSR.bam,HRR067855.BQSR.bam,BAM-files,BQSR.bam,59.63 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067855.BQSR.bam,WES,HRR067855,DNA_ALIGNMENT_BQSR_BAM,HRS040300,HRI035540
HRA000021,HRR067856.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067856.BQSR.bam,HRR067856.BQSR.bam,BAM-files,BQSR.bam,162.72 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067856.BQSR.bam,WES,HRR067856,DNA_ALIGNMENT_BQSR_BAM,HRS040301,HRI035540
HRA000021,HRR067857.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067857.BQSR.bam,HRR067857.BQSR.bam,BAM-files,BQSR.bam,76.85 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067857.BQSR.bam,WES,HRR067857,DNA_ALIGNMENT_BQSR_BAM,HRS040302,HRI035541
HRA000021,HRR067858.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067858.BQSR.bam,HRR067858.BQSR.bam,BAM-files,BQSR.bam,155.40 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067858.BQSR.bam,WES,HRR067858,DNA_ALIGNMENT_BQSR_BAM,HRS040303,HRI035541
HRA000021,HRR067859.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067859.BQSR.bam,HRR067859.BQSR.bam,BAM-files,BQSR.bam,54.68 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067859.BQSR.bam,WES,HRR067859,DNA_ALIGNMENT_BQSR_BAM,HRS040304,HRI035542
HRA000021,HRR067860.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067860.BQSR.bam,HRR067860.BQSR.bam,BAM-files,BQSR.bam,138.63 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067860.BQSR.bam,WES,HRR067860,DNA_ALIGNMENT_BQSR_BAM,HRS040305,HRI035542
HRA000021,HRR067861.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067861.BQSR.bam,HRR067861.BQSR.bam,BAM-files,BQSR.bam,42.46 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067861.BQSR.bam,WES,HRR067861,DNA_ALIGNMENT_BQSR_BAM,HRS040306,HRI035543
HRA000021,HRR067862.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067862.BQSR.bam,HRR067862.BQSR.bam,BAM-files,BQSR.bam,119.62 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067862.BQSR.bam,WES,HRR067862,DNA_ALIGNMENT_BQSR_BAM,HRS040307,HRI035543
HRA000021,HRR067863.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067863.BQSR.bam,HRR067863.BQSR.bam,BAM-files,BQSR.bam,62.12 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067863.BQSR.bam,WES,HRR067863,DNA_ALIGNMENT_BQSR_BAM,HRS040308,HRI035544
HRA000021,HRR067864.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067864.BQSR.bam,HRR067864.BQSR.bam,BAM-files,BQSR.bam,142.29 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067864.BQSR.bam,WES,HRR067864,DNA_ALIGNMENT_BQSR_BAM,HRS040309,HRI035544
HRA000021,HRR067865.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067865.BQSR.bam,HRR067865.BQSR.bam,BAM-files,BQSR.bam,64.34 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067865.BQSR.bam,WES,HRR067865,DNA_ALIGNMENT_BQSR_BAM,HRS040310,HRI035545
HRA000021,HRR067866.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067866.BQSR.bam,HRR067866.BQSR.bam,BAM-files,BQSR.bam,160.73 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067866.BQSR.bam,WES,HRR067866,DNA_ALIGNMENT_BQSR_BAM,HRS040311,HRI035545
HRA000021,HRR067867.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067867.BQSR.bam,HRR067867.BQSR.bam,BAM-files,BQSR.bam,59.00 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067867.BQSR.bam,WES,HRR067867,DNA_ALIGNMENT_BQSR_BAM,HRS040312,HRI035546
HRA000021,HRR067868.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067868.BQSR.bam,HRR067868.BQSR.bam,BAM-files,BQSR.bam,168.84 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067868.BQSR.bam,WES,HRR067868,DNA_ALIGNMENT_BQSR_BAM,HRS040313,HRI035546
HRA000021,HRR067869.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067869.BQSR.bam,HRR067869.BQSR.bam,BAM-files,BQSR.bam,55.37 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067869.BQSR.bam,WES,HRR067869,DNA_ALIGNMENT_BQSR_BAM,HRS040314,HRI035547
HRA000021,HRR067870.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067870.BQSR.bam,HRR067870.BQSR.bam,BAM-files,BQSR.bam,103.84 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067870.BQSR.bam,WES,HRR067870,DNA_ALIGNMENT_BQSR_BAM,HRS040315,HRI035547
HRA000021,HRR067871.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067871.BQSR.bam,HRR067871.BQSR.bam,BAM-files,BQSR.bam,63.85 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067871.BQSR.bam,WES,HRR067871,DNA_ALIGNMENT_BQSR_BAM,HRS040316,HRI035548
