study_accession,title,study_description,study_type,tumor_type,individual_count,sample_count,information_source
HRA000021,ESCC WGS study,Whole Genome Sequencing in Esophageal Squamous Cell Carcinoma,Disease Study,esophageal cancer,508,1016,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000021
HRA000071,,Chinese Glioma Genome Altas (CGGA) - WES dataset,Disease Study,malignant glioma,286,572,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000071
HRA000073,Chinese Glioma Genome Altas (CGGA),Chinese Glioma Genome Altas (CGGA) - RNA-seq dataset (325),Disease Study,malignant glioma,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000073
HRA000074,Chinese Glioma Genome Altas (CGGA),Chinese Glioma Genome Altas (CGGA) - RNA-seq dataset (693),Disease Study,malignant glioma,286,572,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000074
HRA000087,"This project includes scRNA-seq, WGS and bulk RNA-seq data for NPC and Exon-seq, WGBS, EBV tageted-seq for EBV+GC","Single-cell transcriptomic analysis defines the interplay between tumor cells, viral infection, and the microenvironment in nasopharyngeal carcinoma",Disease Study,nasopharynx carcinoma,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000087
HRA000122,Innovation Center for Genomics from Peking-Tsinghua Center for Life Sciences,Integrated Genomic Analyses Identify High-Risk Factors and Actionable Targets in T-Cell Acute Lymphoblastic Leukemia,Disease Study,acute T cell leukemia,165,287,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000122
HRA000873,Sun Yat-sen University Cancer Center,Whole exome sequencing of patients with CRC from the Changkang project,Disease Study,colorectal adenocarcinoma,1015,2030,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000873
HRA001272,Integrated genomic and transcriptomic profiling dissects spatiotemporal evolution of metastatic hepatocellular carcinoma,Integrated genomic and transcriptomic profiling dissects spatiotemporal evolution of metastatic hepatocellular carcinoma,Disease Study,hepatocellular carcinoma,206,698,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001272
HRA001748,DAC for scPLC_A160,scRNA-seq of liver cancer,Disease Study,liver cancer,124,160,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001748
HRA001749,DAC for scPLC_A160,WES of liver cancer,Disease Study,liver cancer,84,178,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001749
HRA002693,"Shanghai Institute of Hematology, State Key Laboratory of Medical Genomics, National Research Center for Translational Medicine at Shanghai, Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200025, China",Transcriptome-based molecular subtypes and differentiation hierarchies improve the classification framework of acute myeloid leukemia,Disease Study,acute myeloid leukemia,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002693
HRA003107,ESCC WGS study,Multi-omics integrative analysis of esophageal squamous carcinoma,Disease Study,esophageal cancer,155,310,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003107
HRA005191,"BIOPIC, Beijing Advanced Innovation Center for Genomics, and School of Life Sciences",Immune Correlates of Response and Resistance to Neoadjuvant Chemo-immunotherapy in Non-small Cell Lung Cancer,Disease Study,non-small cell lung carcinoma,243,243,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005191
HRA006117,"Shanghai Institute of Hematology, State Key Laboratory of Medical Genomics, National Research Center for Translational Medicine at Shanghai, Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200025, China",Aging and comprehensive molecular profiling in acute myeloid leukemia,Disease Study,acute myeloid leukemia,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006117
HRA006499,This is the DAC for PLC PDO bio-bank,Pharmacogenomic profiling of intra-tumor heterogeneity by a large organoid biobank of liver cancer,Disease Study,liver cancer,105,482,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006499
HRA007167,DAC for AM data,Bulk RNA-seq of acral melanoma,Disease Study,melanoma,90,168,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007167
HRA007169,DAC for AM data,WES of acral melanoma,Disease Study,melanoma,81,81,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007169
HRA007413,"Shanghai Institute of Hematology, State Key Laboratory of Medical Genomics, National Research Center for Translational Medicine at Shanghai, Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine, Shanghai, 200025, China",Proteomic features and therapeutics of acute myeloid leukemia,Disease Study,acute myeloid leukemia,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007413
HRA016026,CBB,Multi-omics characterization of CBB in Lung Cancer using WES and RNA-seq,Disease Study,lung cancer,,,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016026
