project_accession,project_name,project_code,relevance,project_description,data_types,organisms,sample_scope,individual_count,country,tumor_type,study_accession,type,health_conditions,organization,submission_date,release_date,information_source
PRJCA002760,Whole Genome Sequencing  in Esophageal Squamous Cell Carcinoma,ESCC_CICAMS_2,Medical,"In this project, we performed deep WGS in microneedle-punctured formalin fixed paraffin embedded tumor tissues and matched adjacent noncancerous specimens on a large set of ESCC patients with clinical follow up data. Herein, we classify ESCC into three main subtypes based on clinically relevant genomic alterations and implicate the association of these subtypes with outcomes of patients. Our genomic study uncovers an extensive landscape of driver genetic alterations across coding and noncoding regions, and defines their potential molecular pathology in ESCC.",Whole genome sequencing,Homo sapiens,Monoisolate,508,China,Esophageal Cancer,HRA000021,Esophageal Squamous Cell Carcinoma,,"National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College",2020/5/29,2020/5/29,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA002760
PRJCA001636,Chinese Glioma Genome Altas (CGGA) - WES dataset,,Medical,WES dataset from Chinese Glioma Genome Altas (CGGA),Exome,Homo sapiens,Multiisolate,,,,HRA000071,,,Beijing Neurosurgical Institute,2019/8/5,2019/8/5,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA001636
PRJCA001746,Chinese Glioma Genome Altas (CGGA) - RNA-seq dataset (325),,Medical,RNA-seq dataset of 325 gliomas from Chinese Glioma Genome Altas (CGGA),Transcriptome or Gene expression,Homo sapiens,Multiisolate,,,,HRA000073,,,Beijing Neurosurgical Institute,2019/9/12,2019/9/29,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA001746
PRJCA001747,Chinese Glioma Genome Altas (CGGA) - RNA-seq dataset (693),CGGA,Medical,RNA-seq dataset of 693 gliomas from Chinese Glioma Genome Altas (CGGA),Transcriptome or Gene expression,Homo sapiens,Multiisolate,286,China,Glioma,HRA000074,High grade glioma,,Beijing Neurosurgical Institute,2019/9/12,2019/9/29,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA001747
PRJCA001868,Single-cell RNA analysis reveals an epithelial-immune dual feature of tumor cells in nasopharyngeal carcinoma,,Medical,"We performed single-cell RNA-seq on nasopharyngeal biopsies to define the complex interplay between tumor cells, virus infection, and the TME at single-cell resolution. Our results provide new insights into the multicellular ecosystem of NPC and offer important clinical implications.",Whole genome sequencing Transcriptome or Gene expression,Homo sapiens,Single cell,,,,HRA000087,,,Peking University,2019/10/25,2022/5/28,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA001868
PRJCA002270,Integrated Genomic Analyses Identify High-Risk Factors Associated with Poor Outcomes of T-ALL,AML_SCMC,Medical,"T-ALL is an aggressive hematologic malignancy and adult T-ALLs are often associated with poor outcomes. Recent large-scale genomic landscape studies have identified frequently mutated genes and dysregulated pathways in major subtypes of T-ALLs1-3. However, few of these large-scale genomic analyses contain survival-related data, which makes molecular-based prognosis and designs of new targeted therapies difficult. In this study, we performed integrated genomic and transcriptomic analyses on samples from 137 pediatric and adult T-ALL patients, of which 90% have outcome information. Out of 54 recurrently mutated genes, we identified poor outcome-associated mutations in EZH2, ASXL1, KRAS, IDH2, JAK3, RB1, KMT2C, TCF7 gene (high-risk gene) and in the RAS pathway. The status of the high-risk gene and RAS pathway mutation groups were independent predictors than factors related with age and clinical features. By combining public datasets, we demonstrated that Asian and adult T-ALLs had higher rates of high-risk gene and Ras pathway mutations than that of Caucasian and pediatric T-ALLs. We also found that differentially expressed genes in early T progenitor ALL (ETP ALL) subtype were largely controlled by the transcription factor PU.1 and that the PU.1-TIM3-GAL-9 regulatory loop was essential for the formation and maintenance of ETP ALL.",Exome， Transcriptome or Gene expression,Homo sapiens,Monoisolate,165,China,Leukemia,HRA000122,Acute T cell leukemia,,Peking University,2020/2/25,2021/12/1,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA002270
PRJCA004622,Whole  exome sequencing  of patients with CRC from the Changkang project,CRC_SYSUCC,Medical,"Colorectal cancer (CRC) is a heterogeneous disease with high varieties in genetics, while the genomic basis of CRC and their clinical associations remain poorly understood. Aiming to establish a large genomic and clinical database of patients with colorectal cancer from Chinese population to provide information for early screening and diagnosis, prognostic evaluation, postoperative recurrence monitoring, individualized medication, efficacy evaluation, and drug resistance analysis for patients with CRC, we launched the ChangKang project. Here, as part of the ChangKang Project, we performed ultra-deep whole exome sequencing (WES) of more than 1000 patients with CRC.",Exome， Raw sequence reads,Homo sapiens,Multiisolate,1015,China,Colorectal Cancer,HRA000873,Colorectal Cancer,,Sun Yat-sen University,2021/3/8,2022/3/11,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA004622
PRJCA006273,Integrated genomic and transcriptomic profiling dissects spatiotemporal evolution of metastatic hepatocellular carcinoma,HCC_SHTech,Medical,"Comprehensive molecular analysis of metastatic hepatocellular carcinoma (HCC) is lacking. Here, we performed whole-exome and transcriptome sequencing of 269 primary, 114 intrahepatic recurrent, and 118 extrahepatic metastatic regions from 224 HCC patients and shed light on the complexity of HCC metastasis evolutionary trajectories and immune crosstalk, which laid foundation for elucidating mechanisms and the therapeutic vulnerabilities of metastatic HCC.",Exome， Transcriptome or Gene expression， Raw sequence reads,Homo sapiens,Multiisolate,206,China,Liver Cancer,HRA001272,Hepatocellular carcinoma,,ShanghaiTech University,2021/8/21,2022/10/1,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA006273
PRJCA007744,scRNA-seq of liver cancer,HCC_PKUHSC,Medical,scRNA-seq of liver cancer,Single cell sequencing,Homo sapiens,Single cell,124,China,Liver Cancer,"HRA001748,HRA001749",Liver Cancer,,Peking University First Hospital,2021/12/29,2022/7/29,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA007744
PRJCA010519,Multi-center RNA sequencing analysis for acute myeloid leukemia,,Medical,"We established the largest multi-center AML cohort (n = 655) with RNA-Seq data in China, in order to refine the genome-based molecular classification of acute myeloid leukemia (AML).",Transcriptome or Gene expression Raw sequence reads,Homo sapiens,Multiisolate,,,,HRA002693,,,Ruijin Hospital Affiliated to Shanghai Jiao Tong University School of Medicine,2022/7/14,2022/12/20,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA010519
