status,description
health,Healthy cohort
disease,Disease cohort category
Acral Melanoma,A rare subtype of melanoma occurring on the palms
Adenosquamous Carcinoma,A rare type of cancer that contains both adenocarcinoma and squamous cell carcinoma components.
Anaplastic Astrocytoma,A rare
Anaplastic Oligo-astrocytoma,A mixed glioma with features of both anaplastic oligodendroglioma and anaplastic astrocytoma.
Anaplastic Oligodendroglioma,A more aggressive form of oligodendroglioma
Astrocytoma,A tumor that arises from star-shaped brain cells called astrocytes.
Combined Hepatocellular and Cholangiocarcinoma,A rare liver tumor with both hepatocellular carcinoma and cholangiocarcinoma features.
Esophageal Cancer,Cancer that occurs in the esophagus.
Esophageal Squamous Cell Carcinoma,The most common type of esophageal cancer worldwide
Glioblastoma,The most aggressive and common type of malignant brain tumor.
Glioma,A type of tumor that occurs in the brain and spinal cord
Hepatic Hemangioma,A benign non-cancerous tumor of the liver.
Hepatocellular Carcinoma,The most common type of primary liver cancer.
Intrahepatic Cholangiocarcinoma,A type of bile duct cancer that occurs within the liver.
Liver Cancer,Cancer that begins in the cells of the liver.
Liver metastases,Metastatic tumors to the liver from other primary cancers.
Lung Adenocarcinoma,A subtype of non-small cell lung cancer.
Lung Cancer,Cancer that begins in the lungs.
Lung Squamous Carcinoma,A type of non-small cell lung cancer arising from squamous cells.
Melanoma,A type of skin cancer that develops from melanocytes.
Oligo鈥恆strocytoma,A mixed glioma containing both oligodendrocytes and astrocytes.
Oligodendroglioma,A brain tumor that arises from oligodendrocytes.
Sarcomatoid Carcinoma,A rare
Secondary Liver Cancer,Cancer that has spread to the liver from another part of the body.
