files,format
HRR067347.bam::NOT_FOUND,UNMAPPEDBAM
HRR067348.bam::NOT_FOUND,UNMAPPEDBAM
HRR067349.bam::NOT_FOUND,UNMAPPEDBAM
HRR067350.bam::NOT_FOUND,UNMAPPEDBAM
HRR067351.bam::NOT_FOUND,UNMAPPEDBAM
HRR067352.bam::NOT_FOUND,UNMAPPEDBAM
HRR067353.bam::NOT_FOUND,UNMAPPEDBAM
HRR067354.bam::NOT_FOUND,UNMAPPEDBAM
HRR067355.bam::NOT_FOUND,UNMAPPEDBAM
HRR067356.bam::NOT_FOUND,UNMAPPEDBAM
HRR067357.bam::NOT_FOUND,UNMAPPEDBAM
HRR067358.bam::NOT_FOUND,UNMAPPEDBAM
HRR067359.bam::NOT_FOUND,UNMAPPEDBAM
HRR067360.bam::NOT_FOUND,UNMAPPEDBAM
HRR067361.bam::NOT_FOUND,UNMAPPEDBAM
HRR067362.bam::NOT_FOUND,UNMAPPEDBAM
HRR067363.bam::NOT_FOUND,UNMAPPEDBAM
HRR067364.bam::NOT_FOUND,UNMAPPEDBAM
HRR067365.bam::NOT_FOUND,UNMAPPEDBAM
HRR067366.bam::NOT_FOUND,UNMAPPEDBAM
HRR067367.bam::NOT_FOUND,UNMAPPEDBAM
HRR067368.bam::NOT_FOUND,UNMAPPEDBAM
HRR067369.bam::NOT_FOUND,UNMAPPEDBAM
HRR067370.bam::NOT_FOUND,UNMAPPEDBAM
HRR067371.bam::NOT_FOUND,UNMAPPEDBAM
HRR067372.bam::NOT_FOUND,UNMAPPEDBAM
HRR067373.bam::NOT_FOUND,UNMAPPEDBAM
HRR067374.bam::NOT_FOUND,UNMAPPEDBAM
HRR067375.bam::NOT_FOUND,UNMAPPEDBAM
HRR067376.bam::NOT_FOUND,UNMAPPEDBAM
HRR067377.bam::NOT_FOUND,UNMAPPEDBAM
HRR067378.bam::NOT_FOUND,UNMAPPEDBAM
HRR067379.bam::NOT_FOUND,UNMAPPEDBAM
HRR067380.bam::NOT_FOUND,UNMAPPEDBAM
HRR067381.bam::NOT_FOUND,UNMAPPEDBAM
HRR067382.bam::NOT_FOUND,UNMAPPEDBAM
HRR067383.bam::NOT_FOUND,UNMAPPEDBAM
HRR067384.bam::NOT_FOUND,UNMAPPEDBAM
HRR067385.bam::NOT_FOUND,UNMAPPEDBAM
HRR067386.bam::NOT_FOUND,UNMAPPEDBAM
HRR067387.bam::NOT_FOUND,UNMAPPEDBAM
HRR067388.bam::NOT_FOUND,UNMAPPEDBAM
HRR067389.bam::NOT_FOUND,UNMAPPEDBAM
HRR067390.bam::NOT_FOUND,UNMAPPEDBAM
HRR067391.bam::NOT_FOUND,UNMAPPEDBAM
HRR067392.bam::NOT_FOUND,UNMAPPEDBAM
HRR067393.bam::NOT_FOUND,UNMAPPEDBAM
HRR067394.bam::NOT_FOUND,UNMAPPEDBAM
HRR067395.bam::NOT_FOUND,UNMAPPEDBAM
HRR067396.bam::NOT_FOUND,UNMAPPEDBAM
HRR067397.bam::NOT_FOUND,UNMAPPEDBAM
HRR067398.bam::NOT_FOUND,UNMAPPEDBAM
