files,modal
HRR067347.bam::NOT_FOUND,WES
HRR067855.bam::NOT_FOUND,WES
HRR067856.bam::NOT_FOUND,WES
HRR067857.bam::NOT_FOUND,WES
HRR067858.bam::NOT_FOUND,WES
HRR067859.bam::NOT_FOUND,WES
HRR067860.bam::NOT_FOUND,WES
HRR067861.bam::NOT_FOUND,WES
HRR067862.bam::NOT_FOUND,WES
HRR067863.bam::NOT_FOUND,WES
HRR067864.bam::NOT_FOUND,WES
HRR067865.bam::NOT_FOUND,WES
HRR067866.bam::NOT_FOUND,WES
HRR067867.bam::NOT_FOUND,WES
HRR067868.bam::NOT_FOUND,WES
HRR067869.bam::NOT_FOUND,WES
HRR067870.bam::NOT_FOUND,WES
HRR067871.bam::NOT_FOUND,WES
HRR067872.bam::NOT_FOUND,WES
HRR067873.bam::NOT_FOUND,WES
HRR067874.bam::NOT_FOUND,WES
HRR067875.bam::NOT_FOUND,WES
HRR067349.bam::NOT_FOUND,WES
HRR067876.bam::NOT_FOUND,WES
HRR067877.bam::NOT_FOUND,WES
HRR067878.bam::NOT_FOUND,WES
HRR067879.bam::NOT_FOUND,WES
HRR067350.bam::NOT_FOUND,WES
HRR067880.bam::NOT_FOUND,WES
HRR067351.bam::NOT_FOUND,WES
HRR067881.bam::NOT_FOUND,WES
HRR067882.bam::NOT_FOUND,WES
HRR067883.bam::NOT_FOUND,WES
HRR067352.bam::NOT_FOUND,WES
HRR067884.bam::NOT_FOUND,WES
HRR067885.bam::NOT_FOUND,WES
HRR067353.bam::NOT_FOUND,WES
HRR067886.bam::NOT_FOUND,WES
HRR067887.bam::NOT_FOUND,WES
HRR067888.bam::NOT_FOUND,WES
HRR067889.bam::NOT_FOUND,WES
HRR067890.bam::NOT_FOUND,WES
HRR067891.bam::NOT_FOUND,WES
HRR067892.bam::NOT_FOUND,WES
HRR067893.bam::NOT_FOUND,WES
HRR067894.bam::NOT_FOUND,WES
HRR067895.bam::NOT_FOUND,WES
HRR067896.bam::NOT_FOUND,WES
HRR067897.bam::NOT_FOUND,WES
HRR067898.bam::NOT_FOUND,WES
HRR067899.bam::NOT_FOUND,WES
HRR067900.bam::NOT_FOUND,WES
HRR067901.bam::NOT_FOUND,WES
HRR067902.bam::NOT_FOUND,WES
HRR067903.bam::NOT_FOUND,WES
