t2_id,study_accession
HRR067347.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067347.BQSR.bam,HRA000021
HRR067855.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067855.BQSR.bam,HRA000021
HRR067856.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067856.BQSR.bam,HRA000021
HRR067857.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067857.BQSR.bam,HRA000021
HRR067858.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067858.BQSR.bam,HRA000021
HRR067859.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067859.BQSR.bam,HRA000021
HRR067860.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067860.BQSR.bam,HRA000021
HRR067861.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067861.BQSR.bam,HRA000021
HRR067862.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067862.BQSR.bam,HRA000021
HRR067863.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067863.BQSR.bam,HRA000021
HRR067864.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067864.BQSR.bam,HRA000021
HRR067865.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067865.BQSR.bam,HRA000021
HRR067866.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067866.BQSR.bam,HRA000021
HRR067867.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067867.BQSR.bam,HRA000021
HRR067868.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067868.BQSR.bam,HRA000021
HRR067869.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067869.BQSR.bam,HRA000021
HRR067870.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067870.BQSR.bam,HRA000021
HRR067871.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067871.BQSR.bam,HRA000021
HRR067872.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067872.BQSR.bam,HRA000021
HRR067873.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067873.BQSR.bam,HRA000021
HRR067874.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067874.BQSR.bam,HRA000021
HRR067875.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067875.BQSR.bam,HRA000021
HRR067349.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067349.BQSR.bam,HRA000021
HRR067876.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067876.BQSR.bam,HRA000021
HRR067877.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067877.BQSR.bam,HRA000021
HRR067878.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067878.BQSR.bam,HRA000021
HRR067879.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067879.BQSR.bam,HRA000021
HRR067350.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067350.BQSR.bam,HRA000021
HRR067880.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067880.BQSR.bam,HRA000021
HRR067351.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067351.BQSR.bam,HRA000021
HRR067881.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067881.BQSR.bam,HRA000021
HRR067882.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067882.BQSR.bam,HRA000021
HRR067883.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067883.BQSR.bam,HRA000021
HRR067352.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067352.BQSR.bam,HRA000021
HRR067884.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067884.BQSR.bam,HRA000021
HRR067885.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067885.BQSR.bam,HRA000021
HRR067353.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067353.BQSR.bam,HRA000021
HRR067886.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067886.BQSR.bam,HRA000021
HRR067887.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067887.BQSR.bam,HRA000021
HRR067888.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067888.BQSR.bam,HRA000021
HRR067889.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067889.BQSR.bam,HRA000021
HRR067890.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067890.BQSR.bam,HRA000021
HRR067891.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067891.BQSR.bam,HRA000021
HRR067892.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067892.BQSR.bam,HRA000021
HRR067893.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067893.BQSR.bam,HRA000021
HRR067894.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067894.BQSR.bam,HRA000021
HRR067895.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067895.BQSR.bam,HRA000021
HRR067896.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067896.BQSR.bam,HRA000021
HRR067897.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067897.BQSR.bam,HRA000021
HRR067898.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067898.BQSR.bam,HRA000021
HRR067899.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067899.BQSR.bam,HRA000021
HRR067900.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067900.BQSR.bam,HRA000021
HRR067901.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067901.BQSR.bam,HRA000021
HRR067902.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067902.BQSR.bam,HRA000021
HRR067903.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067903.BQSR.bam,HRA000021
HRR067904.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067904.BQSR.bam,HRA000021
HRR067905.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067905.BQSR.bam,HRA000021
HRR067906.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067906.BQSR.bam,HRA000021
HRR067907.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067907.BQSR.bam,HRA000021
HRR067908.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067908.BQSR.bam,HRA000021
HRR067909.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067909.BQSR.bam,HRA000021
HRR067910.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067910.BQSR.bam,HRA000021
