run_accession,sample_accession
HRR067347,HRS039792
HRR067348,HRS039793
HRR067349,HRS039794
HRR067350,HRS039795
HRR067351,HRS039796
HRR067352,HRS039797
HRR067353,HRS039798
HRR067354,HRS039799
HRR067355,HRS039800
HRR067356,HRS039801
HRR067357,HRS039802
HRR067358,HRS039803
HRR067359,HRS039804
HRR067360,HRS039805
HRR067361,HRS039806
HRR067362,HRS039807
HRR067363,HRS039808
HRR067364,HRS039809
HRR067365,HRS039810
HRR067366,HRS039811
HRR067367,HRS039812
HRR067368,HRS039813
HRR067369,HRS039814
HRR067370,HRS039815
HRR067371,HRS039816
HRR067372,HRS039817
HRR067373,HRS039818
HRR067374,HRS039819
HRR067375,HRS039820
HRR067376,HRS039821
HRR067377,HRS039822
HRR067378,HRS039823
HRR067379,HRS039824
HRR067380,HRS039825
HRR067381,HRS039826
HRR067382,HRS039827
HRR067383,HRS039828
HRR067384,HRS039829
HRR067385,HRS039830
HRR067386,HRS039831
HRR067387,HRS039832
HRR067388,HRS039833
HRR067389,HRS039834
HRR067390,HRS039835
HRR067391,HRS039836
HRR067392,HRS039837
HRR067393,HRS039838
HRR067394,HRS039839
HRR067395,HRS039840
HRR067396,HRS039841
HRR067397,HRS039842
HRR067398,HRS039843
HRR067399,HRS039844
HRR067400,HRS039845
HRR067401,HRS039846
HRR067402,HRS039847
HRR067403,HRS039848
HRR067404,HRS039849
HRR067405,HRS039850
HRR067406,HRS039851
HRR067407,HRS039852
HRR067408,HRS039853
HRR067409,HRS039854
HRR067410,HRS039855
HRR067411,HRS039856
HRR067412,HRS039857
HRR067413,HRS039858
HRR067414,HRS039859
HRR067415,HRS039860
HRR067416,HRS039861
HRR067417,HRS039862
HRR067418,HRS039863
HRR067419,HRS039864
HRR067420,HRS039865
HRR067421,HRS039866
HRR067422,HRS039867
HRR067423,HRS039868
HRR067424,HRS039869
HRR067425,HRS039870
HRR067426,HRS039871
HRR067427,HRS039872
HRR067428,HRS039873
HRR067429,HRS039874
HRR067430,HRS039875
HRR067431,HRS039876
HRR067432,HRS039877
HRR067433,HRS039878
HRR067434,HRS039879
HRR067435,HRS039880
HRR067436,HRS039881
HRR067437,HRS039882
HRR067438,HRS039883
HRR067439,HRS039884
HRR067440,HRS039885
HRR067441,HRS039886
HRR067442,HRS039887
HRR067443,HRS039888
HRR067444,HRS039889
HRR067445,HRS039890
HRR067446,HRS039891
HRR067447,HRS039892
HRR067448,HRS039893
HRR067449,HRS039894
HRR067450,HRS039895
HRR067451,HRS039896
HRR067452,HRS039897
HRR067453,HRS039898
HRR067454,HRS039899
HRR067455,HRS039900
HRR067456,HRS039901
HRR067457,HRS039902
HRR067458,HRS039903
HRR067459,HRS039904
HRR067460,HRS039905
HRR067461,HRS039906
HRR067462,HRS039907
HRR067463,HRS039908
HRR067464,HRS039909
HRR067465,HRS039910
HRR067466,HRS039911
HRR067467,HRS039912
HRR067468,HRS039913
HRR067469,HRS039914
HRR067470,HRS039915
HRR067471,HRS039916
HRR067472,HRS039917
HRR067473,HRS039918
HRR067474,HRS039919
HRR067475,HRS039920
HRR067476,HRS039921
HRR067477,HRS039922
HRR067478,HRS039923
HRR067479,HRS039924
HRR067480,HRS039925
HRR067481,HRS039926
HRR067482,HRS039927
HRR067483,HRS039928
HRR067484,HRS039929
HRR067485,HRS039930
HRR067486,HRS039931
HRR067487,HRS039932
HRR067488,HRS039933
HRR067489,HRS039934
HRR067490,HRS039935
HRR067491,HRS039936
HRR067492,HRS039937
HRR067493,HRS039938
HRR067494,HRS039939
HRR067495,HRS039940
HRR067496,HRS039941
HRR067497,HRS039942
HRR067498,HRS039943
HRR067499,HRS039944
HRR067500,HRS039945
HRR067501,HRS039946
HRR067502,HRS039947
HRR067503,HRS039948
HRR067504,HRS039949
HRR067505,HRS039950
HRR067506,HRS039951
HRR067507,HRS039952
HRR067508,HRS039953
HRR067509,HRS039954
HRR067510,HRS039955
HRR067511,HRS039956
HRR067512,HRS039957
HRR067513,HRS039958
HRR067514,HRS039959
HRR067515,HRS039960
HRR067516,HRS039961
HRR067517,HRS039962
HRR067518,HRS039963
HRR067519,HRS039964
HRR067520,HRS039965
HRR067521,HRS039966
HRR067522,HRS039967
HRR067523,HRS039968
HRR067524,HRS039969
HRR067525,HRS039970
HRR067526,HRS039971
HRR067527,HRS039972
HRR067528,HRS039973
HRR067529,HRS039974
HRR067530,HRS039975
HRR067531,HRS039976
HRR067532,HRS039977
HRR067533,HRS039978
HRR067534,HRS039979
HRR067535,HRS039980
HRR067536,HRS039981
HRR067537,HRS039982
HRR067538,HRS039983
HRR067539,HRS039984
HRR067540,HRS039985
HRR067541,HRS039986
HRR067542,HRS039987
HRR067543,HRS039988
HRR067544,HRS039989
HRR067545,HRS039990
HRR067546,HRS039991
HRR067547,HRS039992
HRR067548,HRS039993
HRR067549,HRS039994
HRR067550,HRS039995
HRR067551,HRS039996
HRR067552,HRS039997
HRR067553,HRS039998
HRR067554,HRS039999
HRR067555,HRS040000
HRR067556,HRS040001
HRR067557,HRS040002
HRR067558,HRS040003
HRR067559,HRS040004
HRR067560,HRS040005
HRR067561,HRS040006
HRR067562,HRS040007
HRR067563,HRS040008
HRR067564,HRS040009
HRR067565,HRS040010
HRR067566,HRS040011
HRR067567,HRS040012
HRR067568,HRS040013
HRR067569,HRS040014
HRR067570,HRS040015
HRR067571,HRS040016
HRR067572,HRS040017
HRR067573,HRS040018
HRR067574,HRS040019
HRR067575,HRS040020
HRR067576,HRS040021
HRR067577,HRS040022
HRR067578,HRS040023
HRR067579,HRS040024
HRR067580,HRS040025
HRR067581,HRS040026
HRR067582,HRS040027
HRR067583,HRS040028
HRR067584,HRS040029
HRR067585,HRS040030
HRR067586,HRS040031
HRR067587,HRS040032
HRR067588,HRS040033
HRR067589,HRS040034
HRR067590,HRS040035
HRR067591,HRS040036
HRR067592,HRS040037
HRR067593,HRS040038
HRR067594,HRS040039
HRR067595,HRS040040
HRR067596,HRS040041
HRR067597,HRS040042
HRR067598,HRS040043
HRR067599,HRS040044
HRR067600,HRS040045
HRR067601,HRS040046
HRR067602,HRS040047
HRR067603,HRS040048
HRR067604,HRS040049
HRR067605,HRS040050
HRR067606,HRS040051
HRR067607,HRS040052
HRR067608,HRS040053
HRR067609,HRS040054
HRR067610,HRS040055
HRR067611,HRS040056
HRR067612,HRS040057
HRR067613,HRS040058
HRR067614,HRS040059
HRR067615,HRS040060
HRR067616,HRS040061
HRR067617,HRS040062
HRR067618,HRS040063
HRR067619,HRS040064
HRR067620,HRS040065
HRR067621,HRS040066
HRR067622,HRS040067
HRR067623,HRS040068
HRR067624,HRS040069
HRR067625,HRS040070
HRR067626,HRS040071
HRR067627,HRS040072
HRR067628,HRS040073
HRR067629,HRS040074
HRR067630,HRS040075
HRR067631,HRS040076
HRR067632,HRS040077
HRR067633,HRS040078
HRR067634,HRS040079
HRR067635,HRS040080
HRR067636,HRS040081
HRR067637,HRS040082
HRR067638,HRS040083
HRR067639,HRS040084
HRR067640,HRS040085
HRR067641,HRS040086
HRR067642,HRS040087
HRR067643,HRS040088
HRR067644,HRS040089
HRR067645,HRS040090
HRR067646,HRS040091
HRR067647,HRS040092
HRR067648,HRS040093
HRR067649,HRS040094
HRR067650,HRS040095
HRR067651,HRS040096
HRR067652,HRS040097
HRR067653,HRS040098
HRR067654,HRS040099
HRR067655,HRS040100
HRR067656,HRS040101
HRR067657,HRS040102
HRR067658,HRS040103
HRR067659,HRS040104
HRR067660,HRS040105
HRR067661,HRS040106
HRR067662,HRS040107
HRR067663,HRS040108
HRR067664,HRS040109
HRR067665,HRS040110
HRR067666,HRS040111
HRR067667,HRS040112
HRR067668,HRS040113
HRR067669,HRS040114
HRR067670,HRS040115
HRR067671,HRS040116
HRR067672,HRS040117
HRR067673,HRS040118
HRR067674,HRS040119
HRR067675,HRS040120
HRR067676,HRS040121
HRR067677,HRS040122
HRR067678,HRS040123
HRR067679,HRS040124
HRR067680,HRS040125
HRR067681,HRS040126
HRR067682,HRS040127
HRR067683,HRS040128
HRR067684,HRS040129
HRR067685,HRS040130
HRR067686,HRS040131
HRR067687,HRS040132
HRR067688,HRS040133
HRR067689,HRS040134
HRR067690,HRS040135
HRR067691,HRS040136
HRR067692,HRS040137
HRR067693,HRS040138
HRR067694,HRS040139
HRR067695,HRS040140
HRR067696,HRS040141
HRR067697,HRS040142
HRR067698,HRS040143
HRR067699,HRS040144
HRR067700,HRS040145
HRR067701,HRS040146
HRR067702,HRS040147
HRR067703,HRS040148
HRR067704,HRS040149
HRR067705,HRS040150
HRR067706,HRS040151
HRR067707,HRS040152
HRR067708,HRS040153
HRR067709,HRS040154
HRR067710,HRS040155
HRR067711,HRS040156
HRR067712,HRS040157
HRR067713,HRS040158
HRR067714,HRS040159
HRR067715,HRS040160
HRR067716,HRS040161
HRR067717,HRS040162
HRR067718,HRS040163
HRR067719,HRS040164
HRR067720,HRS040165
HRR067721,HRS040166
HRR067722,HRS040167
HRR067723,HRS040168
HRR067724,HRS040169
HRR067725,HRS040170
HRR067726,HRS040171
HRR067727,HRS040172
HRR067728,HRS040173
HRR067729,HRS040174
HRR067730,HRS040175
HRR067731,HRS040176
HRR067732,HRS040177
HRR067733,HRS040178
HRR067734,HRS040179
HRR067735,HRS040180
HRR067736,HRS040181
HRR067737,HRS040182
HRR067738,HRS040183
HRR067739,HRS040184
HRR067740,HRS040185
HRR067741,HRS040186
HRR067742,HRS040187
HRR067743,HRS040188
HRR067744,HRS040189
HRR067745,HRS040190
HRR067746,HRS040191
HRR067747,HRS040192
HRR067748,HRS040193
HRR067749,HRS040194
HRR067750,HRS040195
HRR067751,HRS040196
HRR067752,HRS040197
HRR067753,HRS040198
HRR067754,HRS040199
HRR067755,HRS040200
HRR067756,HRS040201
HRR067757,HRS040202
HRR067758,HRS040203
HRR067759,HRS040204
HRR067760,HRS040205
HRR067761,HRS040206
HRR067762,HRS040207
HRR067763,HRS040208
