study_accession,sample_accession,run_accession,data_type,Read Pair,files,format,file_path,file_description,Experiment,Platform,data_level,pipeline-id,parameter
HRA000071,HRS023383,HRR024685,WES,R1,HRR024685_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024685_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023753,Illumina HiSeq 4000,1,,
HRA000071,HRS023383,HRR024685,WES,R2,HRR024685_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024685_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023753,Illumina HiSeq 4000,1,,
HRA000071,HRS023384,HRR024686,WES,R1,HRR024686_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024686_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023754,Illumina HiSeq 4000,1,,
HRA000071,HRS023384,HRR024686,WES,R2,HRR024686_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024686_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023754,Illumina HiSeq 4000,1,,
HRA000071,HRS023385,HRR024687,WES,R1,HRR024687_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024687_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023755,Illumina HiSeq 4000,1,,
HRA000071,HRS023385,HRR024687,WES,R2,HRR024687_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024687_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023755,Illumina HiSeq 4000,1,,
HRA000071,HRS023386,HRR024688,WES,R1,HRR024688_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024688_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023756,Illumina HiSeq 4000,1,,
HRA000071,HRS023386,HRR024688,WES,R2,HRR024688_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024688_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023756,Illumina HiSeq 4000,1,,
HRA000071,HRS023387,HRR024689,WES,R1,HRR024689_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024689_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023757,Illumina HiSeq 4000,1,,
HRA000071,HRS023387,HRR024689,WES,R2,HRR024689_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024689_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023757,Illumina HiSeq 4000,1,,
HRA000071,HRS023388,HRR024690,WES,R1,HRR024690_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024690_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023758,Illumina HiSeq 4000,1,,
HRA000071,HRS023388,HRR024690,WES,R2,HRR024690_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024690_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023758,Illumina HiSeq 4000,1,,
HRA000071,HRS023389,HRR024691,WES,R1,HRR024691_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024691_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023759,Illumina HiSeq 4000,1,,
HRA000071,HRS023389,HRR024691,WES,R2,HRR024691_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024691_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023759,Illumina HiSeq 4000,1,,
HRA000071,HRS023390,HRR024692,WES,R1,HRR024692_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024692_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023760,Illumina HiSeq 4000,1,,
HRA000071,HRS023390,HRR024692,WES,R2,HRR024692_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024692_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023760,Illumina HiSeq 4000,1,,
HRA000071,HRS023391,HRR024693,WES,R1,HRR024693_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024693_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023761,Illumina HiSeq 4000,1,,
HRA000071,HRS023391,HRR024693,WES,R2,HRR024693_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024693_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023761,Illumina HiSeq 4000,1,,
HRA000071,HRS023392,HRR024694,WES,R1,HRR024694_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024694_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023762,Illumina HiSeq 4000,1,,
HRA000071,HRS023392,HRR024694,WES,R2,HRR024694_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024694_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023762,Illumina HiSeq 4000,1,,
HRA000071,HRS023393,HRR024695,WES,R1,HRR024695_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024695_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023763,Illumina HiSeq 4000,1,,
HRA000071,HRS023393,HRR024695,WES,R2,HRR024695_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024695_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023763,Illumina HiSeq 4000,1,,
HRA000071,HRS023394,HRR024696,WES,R1,HRR024696_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024696_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023764,Illumina HiSeq 4000,1,,
HRA000071,HRS023394,HRR024696,WES,R2,HRR024696_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024696_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023764,Illumina HiSeq 4000,1,,
HRA000071,HRS023395,HRR024697,WES,R1,HRR024697_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024697_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023765,Illumina HiSeq 4000,1,,
HRA000071,HRS023395,HRR024697,WES,R2,HRR024697_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024697_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023765,Illumina HiSeq 4000,1,,
HRA000071,HRS023396,HRR024698,WES,R1,HRR024698_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024698_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023766,Illumina HiSeq 4000,1,,
HRA000071,HRS023396,HRR024698,WES,R2,HRR024698_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024698_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023766,Illumina HiSeq 4000,1,,
HRA000071,HRS023397,HRR024699,WES,R1,HRR024699_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024699_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023767,Illumina HiSeq 4000,1,,
HRA000071,HRS023397,HRR024699,WES,R2,HRR024699_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024699_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023767,Illumina HiSeq 4000,1,,
HRA000071,HRS023398,HRR024700,WES,R1,HRR024700_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024700_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023768,Illumina HiSeq 4000,1,,
HRA000071,HRS023398,HRR024700,WES,R2,HRR024700_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024700_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023768,Illumina HiSeq 4000,1,,
HRA000071,HRS023399,HRR024701,WES,R1,HRR024701_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024701_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023769,Illumina HiSeq 4000,1,,
HRA000071,HRS023399,HRR024701,WES,R2,HRR024701_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024701_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023769,Illumina HiSeq 4000,1,,
HRA000071,HRS023400,HRR024702,WES,R1,HRR024702_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024702_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023770,Illumina HiSeq 2500,1,,
HRA000071,HRS023400,HRR024702,WES,R2,HRR024702_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024702_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023770,Illumina HiSeq 2500,1,,
HRA000071,HRS023401,HRR024703,WES,R1,HRR024703_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024703_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023771,Illumina HiSeq 2500,1,,
HRA000071,HRS023401,HRR024703,WES,R2,HRR024703_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024703_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023771,Illumina HiSeq 2500,1,,
HRA000071,HRS023402,HRR024704,WES,R1,HRR024704_f1.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024704_f1.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（正向序列）,HRX023772,Illumina HiSeq 4000,1,,
HRA000071,HRS023402,HRR024704,WES,R2,HRR024704_r2.fq.gz,fq.gz,/mnt/CNCBOBdata/cbbgroup/tcoa/HRA000071/HRR024704_r2.fq.gz,存储测序序列（碱基）及其对应测序质量分数的标准文本格式的压缩文件（反向序列）,HRX023772,Illumina HiSeq 4000,1,,
