study_accession,t2_id,files,file_type,format,size,data_level,size_bytes,file_path,strategy
HRA000021,HRA000021::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files,BAM-files,DIR,dir,104.10 TB,2,1.14455E+14,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files,genomic
HRA000021,HRA000021::/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticIndel-VCF-files,SomaticIndel-VCF-files,DIR,dir,0.00 B,2,0,/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticIndel-VCF-files,genomic
HRA000021,HRA000021::/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticSNV-VCF-files,SomaticSNV-VCF-files,DIR,dir,0.00 B,2,0,/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticSNV-VCF-files,genomic
HRA000021,HRA000021::/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticSV-VCF-files,SomaticSV-VCF-files,DIR,dir,0.00 B,2,0,/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticSV-VCF-files,genomic
HRA000071,HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/BAM-files,BAM-files,DIR,dir,4.29 TB,2,4.71329E+12,/hpcdisk1/cbb_group/data/analysis/HRA000071/BAM-files,genomic
HRA000071,HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/HRA000071-SomaticCNV-1.0.tsv,HRA000071-SomaticCNV-1.0.tsv,.tsv,tsv,1.20 MB,2,1256167,/hpcdisk1/cbb_group/data/analysis/HRA000071/HRA000071-SomaticCNV-1.0.tsv,genomic
HRA000071,HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/HRA000071-SomaticSNV-1.0.maf,HRA000071-SomaticSNV-1.0.maf,.maf,maf,214.68 MB,2,225106030,/hpcdisk1/cbb_group/data/analysis/HRA000071/HRA000071-SomaticSNV-1.0.maf,genomic
HRA000071,HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticIndel-VCF-files,SomaticIndel-VCF-files,DIR,tsv,1.63 MB,2,1705926,/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticIndel-VCF-files,genomic
HRA000071,HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticSNV-VCF-files,SomaticSNV-VCF-files,DIR,tsv,15.84 MB,2,16607301,/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticSNV-VCF-files,genomic
HRA000071,HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticSV-VCF-files,SomaticSV-VCF-files,DIR,tsv,1.42 MB,2,1491452,/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticSV-VCF-files,genomic
HRA000074,HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/BAM,BAM,DIR,maf,23.92 TB,2,2.63034E+13,/hpcdisk1/cbb_group/data/analysis/HRA000074/BAM,transcriptomic
HRA000074,HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/Fusion,Fusion,DIR,maf,53.36 MB,2,55954310,/hpcdisk1/cbb_group/data/analysis/HRA000074/Fusion,transcriptomic
HRA000074,HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-counts-1.0.tsv,HRA000074-Genes-counts-1.0.tsv,.tsv,tsv,148.03 MB,2,155225597,/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-counts-1.0.tsv,transcriptomic
HRA000074,HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-FPKM-1.0.tsv,HRA000074-Genes-FPKM-1.0.tsv,.tsv,tsv,556.86 MB,2,583913593,/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-FPKM-1.0.tsv,transcriptomic
HRA000074,HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-TPM-1.0.tsv,HRA000074-Genes-TPM-1.0.tsv,.tsv,tsv,546.21 MB,2,572745583,/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-TPM-1.0.tsv,transcriptomic
HRA000074,HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/SpliceJunction,SpliceJunction,DIR,tsv,7.99 GB,2,8578367553,/hpcdisk1/cbb_group/data/analysis/HRA000074/SpliceJunction,transcriptomic
HRA000321,HRA000321::/hpcdisk1/cbb_group/data/scRNAseq/HRA000321/Matrix-h5,Matrix-h5,DIR,maf,0.00 B,2,0,/hpcdisk1/cbb_group/data/scRNAseq/HRA000321/Matrix-h5,single-cell transcriptomic
HRA000873,HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files,BAM-files,DIR,tsv,50.91 TB,2,5.59771E+13,/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files,genomic
HRA000873,HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/HRA000873-SomaticSNV-1.0.full.maf,HRA000873-SomaticSNV-1.0.full.maf,.maf,maf,44.04 GB,2,47284877216,/hpcdisk1/cbb_group/data/analysis/HRA000873/HRA000873-SomaticSNV-1.0.full.maf,genomic
HRA000873,HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/HRA000873-SomaticSNV-1.0.maf,HRA000873-SomaticSNV-1.0.maf,.maf,tsv,24.72 GB,2,26542363824,/hpcdisk1/cbb_group/data/analysis/HRA000873/HRA000873-SomaticSNV-1.0.maf,genomic
HRA000873,HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/maf,maf,DIR,tsv,44.04 GB,2,47286335348,/hpcdisk1/cbb_group/data/analysis/HRA000873/maf,genomic
HRA000873,HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/mutect2,mutect2,DIR,tsv,4.89 GB,2,5250813611,/hpcdisk1/cbb_group/data/analysis/HRA000873/mutect2,genomic
HRA000873,HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files,SomaticIndel-VCF-files,DIR,tsv,1.90 GB,2,2042043583,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files,genomic
HRA000873,HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticSNV-VCF-files,SomaticSNV-VCF-files,DIR,tsv,1.68 GB,2,1808082609,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticSNV-VCF-files,genomic
HRA001272,HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/BAM,BAM,DIR,tsv,11.09 TB,2,1.219E+13,/hpcdisk1/cbb_group/data/analysis/HRA001272/BAM,genomic
HRA001272,HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/BAM,BAM,DIR,tsv,21.58 TB,2,2.3729E+13,/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/BAM,transcriptomic
HRA001272,HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/Fusion,Fusion,DIR,maf,47.00 MB,2,49284631,/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/Fusion,transcriptomic
HRA001272,HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/HRA001272-Genes-counts-1.0.tsv,HRA001272-Genes-counts-1.0.tsv,.tsv,tsv,87.75 MB,2,92007381,/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/HRA001272-Genes-counts-1.0.tsv,transcriptomic
