child,parent
Anaplastic Astrocytoma,Glioma
Glioblastoma,Glioma
Astrocytoma,Glioma
Anaplastic Oligo-astrocytoma,Glioma
Oligo鈥恆strocytoma,Glioma
Oligodendroglioma,Glioma
Anaplastic Oligodendroglioma,Glioma
Hepatocellular Carcinoma,Liver Cancer
Lung Squamous Carcinoma,Lung Cancer
Lung Adenocarcinoma,Lung Cancer
Intrahepatic Cholangiocarcinoma,Liver Cancer
Adenosquamous Carcinoma,Liver Cancer
Combined Hepatocellular and Cholangiocarcinoma,Liver Cancer
Hepatic Hemangioma,Liver Cancer
Secondary Liver Cancer,Liver Cancer
Sarcomatoid Carcinoma,Liver Cancer
Liver metastases,Liver Cancer
Acral Melanoma,Melanoma
Esophageal Squamous Cell Carcinoma,Esophageal Cancer
Liver Cancer,disease
Melanoma,disease
Esophageal Cancer,disease
Glioma,disease
Lung Cancer,disease
