files,data_level
HRR024685_f1.fq.gz,1
HRR024685_r2.fq.gz,1
HRR024686_f1.fq.gz,1
HRR024686_r2.fq.gz,1
HRR024687_f1.fq.gz,1
HRR024687_r2.fq.gz,1
HRR024688_f1.fq.gz,1
HRR024688_r2.fq.gz,1
HRR024689_f1.fq.gz,1
HRR024689_r2.fq.gz,1
HRR024690_f1.fq.gz,1
HRR024690_r2.fq.gz,1
HRR024691_f1.fq.gz,1
HRR024691_r2.fq.gz,1
HRR024692_f1.fq.gz,1
HRR024692_r2.fq.gz,1
HRR024693_f1.fq.gz,1
HRR024693_r2.fq.gz,1
HRR024694_f1.fq.gz,1
HRR024694_r2.fq.gz,1
HRR024695_f1.fq.gz,1
HRR024695_r2.fq.gz,1
HRR024696_f1.fq.gz,1
HRR024696_r2.fq.gz,1
HRR024697_f1.fq.gz,1
HRR024697_r2.fq.gz,1
HRR024698_f1.fq.gz,1
HRR024698_r2.fq.gz,1
HRR024699_f1.fq.gz,1
HRR024699_r2.fq.gz,1
HRR024700_f1.fq.gz,1
HRR024700_r2.fq.gz,1
HRR024701_f1.fq.gz,1
HRR024701_r2.fq.gz,1
HRR024702_f1.fq.gz,1
HRR024702_r2.fq.gz,1
HRR024703_f1.fq.gz,1
HRR024703_r2.fq.gz,1
HRR024704_f1.fq.gz,1
HRR024704_r2.fq.gz,1
HRR024705_f1.fq.gz,1
HRR024705_r2.fq.gz,1
HRR024706_f1.fq.gz,1
HRR024706_r2.fq.gz,1
HRR024707_f1.fq.gz,1
HRR024707_r2.fq.gz,1
HRR024708_f1.fq.gz,1
HRR024708_r2.fq.gz,1
HRR024709_f1.fq.gz,1
HRR024709_r2.fq.gz,1
HRR024710_f1.fq.gz,1
HRR024710_r2.fq.gz,1
HRR024711_f1.fq.gz,1
HRR024711_r2.fq.gz,1
HRR024712_f1.fq.gz,1
HRR024712_r2.fq.gz,1
HRR024713_f1.fq.gz,1
HRR024713_r2.fq.gz,1
HRR024714_f1.fq.gz,1
HRR024714_r2.fq.gz,1
HRR024715_f1.fq.gz,1
HRR024715_r2.fq.gz,1
HRR024716_f1.fq.gz,1
HRR024716_r2.fq.gz,1
HRR024717_f1.fq.gz,1
HRR024717_r2.fq.gz,1
HRR024718_f1.fq.gz,1
HRR024718_r2.fq.gz,1
HRR024719_f1.fq.gz,1
HRR024719_r2.fq.gz,1
HRR024720_f1.fq.gz,1
HRR024720_r2.fq.gz,1
HRR024721_f1.fq.gz,1
HRR024721_r2.fq.gz,1
HRR024722_f1.fq.gz,1
HRR024722_r2.fq.gz,1
HRR024723_f1.fq.gz,1
HRR024723_r2.fq.gz,1
HRR024724_f1.fq.gz,1
HRR024724_r2.fq.gz,1
HRR024725_f1.fq.gz,1
HRR024725_r2.fq.gz,1
