sample_accession,individual_accession
HRS023383,HRI023383
HRS023384,HRI023384
HRS023385,HRI023385
HRS023386,HRI023386
HRS023387,HRI023387
HRS023388,HRI023388
HRS023389,HRI023389
HRS023390,HRI023390
HRS023391,HRI023391
HRS023392,HRI023392
HRS023393,HRI023393
HRS023394,HRI023394
HRS023395,HRI023395
HRS023396,HRI023396
HRS023397,HRI023397
HRS023398,HRI023398
HRS023399,HRI023399
HRS023400,HRI023400
HRS023401,HRI023401
HRS023402,HRI023402
HRS023403,HRI023403
HRS023404,HRI023404
HRS023405,HRI023405
HRS023406,HRI023406
HRS023407,HRI023407
HRS023408,HRI023408
HRS023409,HRI023409
HRS023410,HRI023410
HRS023411,HRI023411
HRS023412,HRI023412
HRS023413,HRI023413
HRS023414,HRI023414
HRS023415,HRI023415
HRS023416,HRI023416
HRS023417,HRI023417
HRS023418,HRI023418
HRS023419,HRI023419
HRS023420,HRI023420
HRS023421,HRI023421
HRS023422,HRI023422
HRS023423,HRI023423
HRS023424,HRI023424
HRS023425,HRI023425
HRS023426,HRI023426
HRS023427,HRI023427
HRS023428,HRI023428
HRS023429,HRI023429
HRS023430,HRI023430
HRS023431,HRI023431
HRS023432,HRI023432
HRS023433,HRI023433
HRS023434,HRI023434
HRS023435,HRI023435
HRS023436,HRI023436
HRS023437,HRI023437
HRS023438,HRI023438
HRS023439,HRI023439
HRS023440,HRI023440
HRS023441,HRI023441
HRS023442,HRI023442
HRS023443,HRI023443
HRS023444,HRI023444
HRS023445,HRI023445
HRS023446,HRI023446
HRS023447,HRI023447
HRS023448,HRI023448
HRS023449,HRI023449
HRS023450,HRI023450
HRS023451,HRI023451
HRS023452,HRI023452
HRS023453,HRI023453
HRS023454,HRI023454
HRS023455,HRI023455
HRS023456,HRI023456
HRS023457,HRI023457
HRS023458,HRI023458
HRS023459,HRI023459
HRS023460,HRI023460
HRS023461,HRI023461
HRS023462,HRI023462
HRS023463,HRI023463
HRS023464,HRI023464
HRS023465,HRI023465
HRS023466,HRI023466
HRS023467,HRI023467
HRS023468,HRI023468
HRS023469,HRI023469
HRS023470,HRI023470
HRS023471,HRI023471
HRS023472,HRI023472
HRS023473,HRI023473
HRS023474,HRI023474
HRS023475,HRI023475
HRS023476,HRI023476
HRS023477,HRI023477
HRS023478,HRI023478
HRS023479,HRI023479
HRS023480,HRI023480
HRS023481,HRI023481
HRS023482,HRI023482
HRS023483,HRI023483
HRS023484,HRI023484
HRS023485,HRI023485
HRS023486,HRI023486
HRS023487,HRI023487
HRS023488,HRI023488
HRS023489,HRI023489
HRS023490,HRI023490
HRS023491,HRI023491
HRS023492,HRI023492
HRS023493,HRI023493
HRS023494,HRI023494
HRS023495,HRI023495
HRS023496,HRI023496
HRS023497,HRI023497
HRS023498,HRI023498
HRS023499,HRI023499
HRS023500,HRI023500
HRS023501,HRI023501
HRS023502,HRI023502
HRS023503,HRI023503
HRS023504,HRI023504
HRS023505,HRI023505
HRS023506,HRI023506
HRS023507,HRI023507
HRS023508,HRI023508
HRS023509,HRI023509
HRS023510,HRI023510
HRS023511,HRI023511
HRS023512,HRI023512
HRS023513,HRI023513
HRS023514,HRI023514
HRS023515,HRI023515
HRS023516,HRI023516
HRS023517,HRI023517
HRS023518,HRI023518
HRS023519,HRI023519
HRS023520,HRI023520
HRS023521,HRI023521
HRS023522,HRI023522
HRS023523,HRI023523
HRS023524,HRI023524
HRS023525,HRI023525
HRS023526,HRI023526
HRS023527,HRI023527
HRS023528,HRI023528
HRS023529,HRI023529
HRS023530,HRI023530
HRS023531,HRI023531
HRS023532,HRI023532
HRS023533,HRI023533
HRS023534,HRI023534
HRS023535,HRI023535
HRS023536,HRI023536
HRS023537,HRI023537
HRS023538,HRI023538
HRS023539,HRI023539
HRS023540,HRI023540
HRS023541,HRI023541
HRS023542,HRI023542
HRS023543,HRI023543
HRS023544,HRI023544
HRS023545,HRI023545
HRS023546,HRI023546
HRS023547,HRI023547
HRS023548,HRI023548
HRS023549,HRI023549
HRS023550,HRI023550
HRS023551,HRI023551
HRS023552,HRI023552
HRS023553,HRI023553
HRS023554,HRI023554
HRS023555,HRI023555
HRS023556,HRI023556
HRS023557,HRI023557
HRS023558,HRI023558
HRS023559,HRI023559
HRS023560,HRI023560
HRS023561,HRI023561
HRS023562,HRI023562
HRS023563,HRI023563
HRS023564,HRI023564
HRS023565,HRI023565
HRS023566,HRI023566
HRS023567,HRI023567
HRS023568,HRI023568
HRS023569,HRI023569
HRS023570,HRI023570
HRS023571,HRI023571
HRS023572,HRI023572
HRS023573,HRI023573
HRS023574,HRI023574
HRS023575,HRI023575
HRS023576,HRI023576
HRS023577,HRI023577
HRS023578,HRI023578
HRS023579,HRI023579
HRS023580,HRI023580
HRS023581,HRI023581
HRS023582,HRI023582
HRS023583,HRI023583
HRS023584,HRI023584
HRS023585,HRI023585
HRS023586,HRI023586
HRS023587,HRI023587
HRS023588,HRI023588
HRS023589,HRI023589
HRS023590,HRI023590
HRS023591,HRI023591
HRS023592,HRI023592
HRS023593,HRI023593
HRS023594,HRI023594
HRS023595,HRI023595
HRS023596,HRI023596
HRS023597,HRI023597
HRS023598,HRI023598
HRS023599,HRI023599
HRS023600,HRI023600
HRS023601,HRI023601
HRS023602,HRI023602
HRS023603,HRI023603
HRS023604,HRI023604
HRS023605,HRI023605
HRS023606,HRI023606
HRS023607,HRI023607
HRS023608,HRI023608
HRS023609,HRI023609
HRS023610,HRI023610
HRS023611,HRI023611
HRS023612,HRI023612
HRS023613,HRI023613
HRS023614,HRI023614
HRS023615,HRI023615
HRS023616,HRI023616
HRS023617,HRI023617
HRS023618,HRI023618
HRS023619,HRI023619
HRS023620,HRI023620
HRS023621,HRI023621
HRS023622,HRI023622
HRS023623,HRI023623
HRS023624,HRI023624
HRS023625,HRI023625
HRS023626,HRI023626
HRS023627,HRI023627
HRS023628,HRI023628
HRS023629,HRI023629
HRS023630,HRI023630
HRS023631,HRI023631
HRS023632,HRI023632
HRS023633,HRI023633
HRS023634,HRI023634
HRS023635,HRI023635
HRS023636,HRI023636
HRS023637,HRI023637
HRS023638,HRI023638
HRS023639,HRI023639
HRS023640,HRI023640
HRS023641,HRI023641
HRS023642,HRI023642
HRS023643,HRI023643
HRS023644,HRI023644
HRS023645,HRI023645
HRS023646,HRI023646
HRS023647,HRI023647
HRS023648,HRI023648
HRS023649,HRI023649
HRS023650,HRI023650
HRS023651,HRI023651
HRS023652,HRI023652
HRS023653,HRI023653
HRS023654,HRI023654
HRS023655,HRI023655
HRS023656,HRI023656
HRS023657,HRI023657
HRS023658,HRI023658
HRS023659,HRI023659
HRS023660,HRI023660
HRS023661,HRI023661
