tool_id,语义输出格式
T01,Clean FASTQ
T02,Quality Control Report
T03,Aligned SAM/BAM
T04,Sorted/Dedup BAM
T05,Sorted/Dedup BAM
T05,Unfiltered VCF
T06,Filtered (PASS) VCF
T07,Annotated VCF
T08,Clean FASTQ
T09,Clean FASTQ
T09,Aligned SAM/BAM
T09,Transcriptome BAM
T10,TPM / FPKM
T11,Raw Counts
T12,Quality Control Report
T13,DE Result
T14,DE Result
T15,Processed Object
T16,Processed Object
T17,Processed Object
T18,uBAM (Unmapped)
T19,Processed Object
T20,Processed Object
T21,Processed Object
T22,Public Somatic MAF
T23,Processed Object
