identity,labels,format,description
format:bai,Format|format,bai,
format:bam,Format|format,bam,Aligned reads format
format:csv,format,csv,Comma-separated values format
format:database,Format|format,database,
format:dir,format,dir,wenjianjia
format:fasta,Format|format,fasta,
format:fq.gz,Format|format,fq.gz,Raw sequencing reads format (gzipped)
format:gtf,Format|format,gtf,
format:gz,format,gz,Gzip compressed format
format:html,Format|format,html,
format:html/txt,Format|format,html/txt,
format:index,Format|format,index,
format:json,Format|format,json,JSON format
format:list,format,list,List format (plain text)
format:log,Format|format,log,
format:maf,format,maf,Mutation annotation format
format:pdf,format,pdf,Portable Document Format
format:png,format,png,Portable Network Graphics format
format:sam,Format|format,sam,
format:tbi,Format|format,tbi,
format:tsv,Format|format,tsv,Tab-separated values format
format:txt,Format|format,txt,Plain text format
format:txt/html,Format|format,txt/html,
format:vcf,Format|format,vcf,Variant call format
format:xls,format,xls,Excel Binary Spreadsheet format
format:xlsx,format,xlsx,Excel Open XML Spreadsheet format
format:zip,Format|format,zip,
format:interval_list,Format|format,interval_list,GATK interval list
