type,start,end,properties_json
ALLOW_FORMAT,io_slot:bcftools::input::unfiltered_vcf,format:vcf,{}
ALLOW_FORMAT,io_slot:bcftools::output::filtered_vcf,format:tbi,{}
ALLOW_FORMAT,io_slot:bcftools::output::filtered_vcf,format:vcf,{}
ALLOW_FORMAT,io_slot:bwa::input::clean_fastq_read,format:fasta,{}
ALLOW_FORMAT,io_slot:bwa::input::clean_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:bwa::input::clean_fastq_read,format:index,{}
ALLOW_FORMAT,io_slot:bwa::input::genome_annotation,format:fasta,{}
ALLOW_FORMAT,io_slot:bwa::input::genome_annotation,format:fq.gz,{}
ALLOW_FORMAT,io_slot:bwa::input::genome_annotation,format:index,{}
ALLOW_FORMAT,io_slot:bwa::output::aligned_bam,format:bam,{}
ALLOW_FORMAT,io_slot:bwa::output::aligned_bam,format:sam,{}
ALLOW_FORMAT,io_slot:diff_expr_go::in::expression,format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_go::out::differential,format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_go::out::enrichment,format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_kegg::in::expression,format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_kegg::out::differential,format:tsv,{}
ALLOW_FORMAT,io_slot:diff_expr_kegg::out::enrichment,format:tsv,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::in::clinical,format:xls,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::in::clinical,format:xlsx,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::in::maf,format:maf,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::in::metainfo,format:xlsx,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::matrix,format:gz,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::matrix,format:tsv,{}
ALLOW_FORMAT,io_slot:driver_gene_gender_analysis::out::statistics,format:tsv,{}
ALLOW_FORMAT,io_slot:fastp::input::raw_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:fastp::output::clean_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:fastp::output::clean_fastq_read,format:html,{}
ALLOW_FORMAT,io_slot:fastp::output::clean_fastq_read,format:json,{}
ALLOW_FORMAT,io_slot:fastqc::input::clean_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:fastqc::input::raw_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:fastqc::output::quality_control_report,format:html,{}
ALLOW_FORMAT,io_slot:fastqc::output::quality_control_report,format:zip,{}
ALLOW_FORMAT,io_slot:featurecounts::input::genome_annotation,format:bam,{}
ALLOW_FORMAT,io_slot:featurecounts::input::genome_annotation,format:gtf,{}
ALLOW_FORMAT,io_slot:featurecounts::input::sorted_dedup_bam,format:bam,{}
ALLOW_FORMAT,io_slot:featurecounts::input::sorted_dedup_bam,format:gtf,{}
ALLOW_FORMAT,io_slot:featurecounts::output::expression_count_matrix,format:txt,{}
ALLOW_FORMAT,io_slot:gatk::input::genome_annotation,format:bam,{}
ALLOW_FORMAT,io_slot:gatk::input::genome_annotation,format:fasta,{}
ALLOW_FORMAT,io_slot:gatk::input::genome_annotation,format:vcf,{}
ALLOW_FORMAT,io_slot:gatk::input::sorted_dedup_bam,format:bam,{}
ALLOW_FORMAT,io_slot:gatk::input::sorted_dedup_bam,format:fasta,{}
ALLOW_FORMAT,io_slot:gatk::input::sorted_dedup_bam,format:vcf,{}
ALLOW_FORMAT,io_slot:gatk::output::sorted_dedup_bam,format:bam,{}
ALLOW_FORMAT,io_slot:gatk::output::sorted_dedup_bam,format:vcf,{}
ALLOW_FORMAT,io_slot:gatk::output::unfiltered_vcf,format:bam,{}
ALLOW_FORMAT,io_slot:gatk::output::unfiltered_vcf,format:vcf,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::in::clinical,format:xls,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::in::clinical,format:xlsx,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::in::expression,format:tsv,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::in::metainfo,format:xlsx,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::statistics,format:tsv,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::summary,format:json,{}
ALLOW_FORMAT,io_slot:her2_pfs_survival::out::summary,format:txt,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::in::clinical,format:xls,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::in::clinical,format:xlsx,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::in::expression,format:tsv,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::in::metainfo,format:xlsx,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::fractions,format:tsv,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::qc,format:json,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::qc,format:tsv,{}
ALLOW_FORMAT,io_slot:immune_infiltration_iobr::out::qc,format:txt,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,format:html,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,format:log,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,format:tsv,{}
ALLOW_FORMAT,io_slot:multiqc::input::quality_control_report,format:zip,{}
ALLOW_FORMAT,io_slot:multiqc::output::quality_control_report,format:html,{}
ALLOW_FORMAT,io_slot:multiqc::output::quality_control_report,format:tsv,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::in::fastq_1,format:fq.gz,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::in::fastq_2,format:fq.gz,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::out::bam,format:bam,{}
ALLOW_FORMAT,io_slot:paired_fastq_to_unmapped_bam::out::list,format:list,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::fastq_1,format:fq.gz,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::fastq_2,format:fq.gz,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::gtf_file,format:gtf,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::rrna_star_index,format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::rsem_index,format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::input::star_genome_index,format:index,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::aligned_bam,format:bai,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::aligned_bam,format:bam,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::count_matrix,format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::count_matrix,format:txt,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::expression_matrix,format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::quality_control,format:html,{}
ALLOW_FORMAT,io_slot:rnaseq_singletask::output::quality_control,format:zip,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::in::counts,format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::assignments,format:tsv,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:rnaseq_unsupervised_cluster::out::stability,format:tsv,{}
ALLOW_FORMAT,io_slot:rsem::input::genome_annotation,format:bam,{}
ALLOW_FORMAT,io_slot:rsem::input::genome_annotation,format:index,{}
ALLOW_FORMAT,io_slot:rsem::input::transcriptome_bam,format:bam,{}
ALLOW_FORMAT,io_slot:rsem::input::transcriptome_bam,format:index,{}
ALLOW_FORMAT,io_slot:rsem::output::expression_abundance_matrix,format:tsv,{}
ALLOW_FORMAT,io_slot:samtools::input::aligned_bam,format:bam,{}
ALLOW_FORMAT,io_slot:samtools::input::aligned_bam,format:sam,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,format:bai,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,format:bam,{}
ALLOW_FORMAT,io_slot:samtools::output::sorted_dedup_bam,format:txt,{}
ALLOW_FORMAT,io_slot:snpeff::input::filtered_vcf,format:database,{}
ALLOW_FORMAT,io_slot:snpeff::input::filtered_vcf,format:vcf,{}
ALLOW_FORMAT,io_slot:snpeff::input::genome_annotation,format:database,{}
ALLOW_FORMAT,io_slot:snpeff::input::genome_annotation,format:vcf,{}
ALLOW_FORMAT,io_slot:snpeff::output::annotated_vcf,format:html/txt,{}
ALLOW_FORMAT,io_slot:snpeff::output::annotated_vcf,format:vcf,{}
ALLOW_FORMAT,io_slot:star::input::clean_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::input::clean_fastq_read,format:index,{}
ALLOW_FORMAT,io_slot:star::input::genome_annotation,format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::input::genome_annotation,format:index,{}
ALLOW_FORMAT,io_slot:star::output::aligned_bam,format:bam,{}
ALLOW_FORMAT,io_slot:star::output::clean_fastq_read,format:bam,{}
ALLOW_FORMAT,io_slot:star::output::clean_fastq_read,format:fq.gz,{}
ALLOW_FORMAT,io_slot:star::output::transcriptome_bam,format:bam,{}
ALLOW_FORMAT,io_slot:star::output::transcriptome_bam,format:fq.gz,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::clinical,format:xls,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::clinical,format:xlsx,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::maf,format:maf,{}
ALLOW_FORMAT,io_slot:survival_analysis::in::metainfo,format:xlsx,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::figures,format:pdf,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::figures,format:png,{}
ALLOW_FORMAT,io_slot:survival_analysis::out::statistics,format:txt,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::clinical,format:xls,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::clinical,format:xlsx,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::maf,format:maf,{}
ALLOW_FORMAT,io_slot:tmb_survival_analysis::in::metainfo,format:xlsx,{}
