语义格式,description
Raw FASTQ,原始测序下机数据（双端或单端）
Clean FASTQ,经过质控、去接头、过滤后的高可靠测序数据
Cell-Barcode FASTQ,包含单细胞条形码信息的 FASTQ 数据
uBAM (Unmapped),未比对到参考基因组的索引化序列文件
Aligned SAM/BAM,已比对到参考基因组但尚未必排序或标记重复的 SAM/BAM
Sorted/Dedup BAM,已排序并标记重复序列的比对文件（基因组坐标）
Transcriptome BAM,比对到转录组坐标的序列文件（用于定量）
Unfiltered VCF,变异检测工具直接生成的原始变异数据
Filtered (PASS) VCF,经过质量过滤（如 GATK VQSR 或硬过滤）的变异数据
Annotated VCF,带有功能注释信息（如基因名、突变类型）的变异数据
gVCF,包含全基因组位点信息的中间变异文件（用于群体联呼）
Somatic SV,体细胞结构变异数据
Candidate Fusion,初步预测的候选融合基因列表
High-Conf Fusion,经过多重过滤的高置信度融合基因结果
Annotated Junction,已知的剪接位点信息
Novel Junction,新预测的剪接位点信息
Raw Counts,基因或转录本的原始表达计数矩阵
TPM / FPKM,归一化后的表达量矩阵
Sparse Matrix,单细胞常用的稀疏矩阵格式
Protected MAF,包含受保护隐私信息的突变注释文件
Public Somatic MAF,脱敏后的体细胞突变注释文件
Raw Object,分析工具生成的原始对象（如 Seurat 原始对象）
Processed Object,经过计算、可视化处理后的结果对象或报告
DE Result,差异表达分析的结果列表（Foldchange/P-value）
Sample Metadata,样本表型信息、临床数据、质控报告日志
Quality Control Report,质控工具产生的报告、统计和日志集合（如 HTML、ZIP、TSV 或 log）
Signal Track,基因组信号轨道文件（如 BigWig）
Genome Annotation,参考基因组、索引、GTF 注释、SNP 数据库等
Sample Metadata,样本元数据
