files,run_accession
HRR024685_f1.fq.gz,HRR024685
HRR024685_r2.fq.gz,HRR024685
HRR024686_f1.fq.gz,HRR024686
HRR024686_r2.fq.gz,HRR024686
HRR024687_f1.fq.gz,HRR024687
HRR024687_r2.fq.gz,HRR024687
HRR024688_f1.fq.gz,HRR024688
HRR024688_r2.fq.gz,HRR024688
HRR024689_f1.fq.gz,HRR024689
HRR024689_r2.fq.gz,HRR024689
HRR024690_f1.fq.gz,HRR024690
HRR024690_r2.fq.gz,HRR024690
HRR024691_f1.fq.gz,HRR024691
HRR024691_r2.fq.gz,HRR024691
HRR024692_f1.fq.gz,HRR024692
HRR024692_r2.fq.gz,HRR024692
HRR024693_f1.fq.gz,HRR024693
HRR024693_r2.fq.gz,HRR024693
HRR024694_f1.fq.gz,HRR024694
HRR024694_r2.fq.gz,HRR024694
HRR024695_f1.fq.gz,HRR024695
HRR024695_r2.fq.gz,HRR024695
HRR024696_f1.fq.gz,HRR024696
HRR024696_r2.fq.gz,HRR024696
HRR024697_f1.fq.gz,HRR024697
HRR024697_r2.fq.gz,HRR024697
HRR024698_f1.fq.gz,HRR024698
HRR024698_r2.fq.gz,HRR024698
HRR024699_f1.fq.gz,HRR024699
HRR024699_r2.fq.gz,HRR024699
HRR024700_f1.fq.gz,HRR024700
HRR024700_r2.fq.gz,HRR024700
HRR024701_f1.fq.gz,HRR024701
HRR024701_r2.fq.gz,HRR024701
HRR024702_f1.fq.gz,HRR024702
HRR024702_r2.fq.gz,HRR024702
HRR024703_f1.fq.gz,HRR024703
HRR024703_r2.fq.gz,HRR024703
HRR024704_f1.fq.gz,HRR024704
HRR024704_r2.fq.gz,HRR024704
HRR024705_f1.fq.gz,HRR024705
HRR024705_r2.fq.gz,HRR024705
HRR024706_f1.fq.gz,HRR024706
HRR024706_r2.fq.gz,HRR024706
HRR024707_f1.fq.gz,HRR024707
HRR024707_r2.fq.gz,HRR024707
HRR024708_f1.fq.gz,HRR024708
HRR024708_r2.fq.gz,HRR024708
HRR024709_f1.fq.gz,HRR024709
HRR024709_r2.fq.gz,HRR024709
HRR024710_f1.fq.gz,HRR024710
HRR024710_r2.fq.gz,HRR024710
HRR024711_f1.fq.gz,HRR024711
HRR024711_r2.fq.gz,HRR024711
HRR024712_f1.fq.gz,HRR024712
HRR024712_r2.fq.gz,HRR024712
HRR024713_f1.fq.gz,HRR024713
HRR024713_r2.fq.gz,HRR024713
HRR024714_f1.fq.gz,HRR024714
HRR024714_r2.fq.gz,HRR024714
HRR024715_f1.fq.gz,HRR024715
HRR024715_r2.fq.gz,HRR024715
HRR024716_f1.fq.gz,HRR024716
HRR024716_r2.fq.gz,HRR024716
HRR024717_f1.fq.gz,HRR024717
HRR024717_r2.fq.gz,HRR024717
HRR024718_f1.fq.gz,HRR024718
HRR024718_r2.fq.gz,HRR024718
HRR024719_f1.fq.gz,HRR024719
HRR024719_r2.fq.gz,HRR024719
HRR024720_f1.fq.gz,HRR024720
HRR024720_r2.fq.gz,HRR024720
HRR024721_f1.fq.gz,HRR024721
HRR024721_r2.fq.gz,HRR024721
HRR024722_f1.fq.gz,HRR024722
HRR024722_r2.fq.gz,HRR024722
HRR024723_f1.fq.gz,HRR024723
HRR024723_r2.fq.gz,HRR024723
HRR024724_f1.fq.gz,HRR024724
HRR024724_r2.fq.gz,HRR024724
HRR024725_f1.fq.gz,HRR024725
HRR024725_r2.fq.gz,HRR024725
HRR024726_f1.fq.gz,HRR024726
HRR024726_r2.fq.gz,HRR024726
HRR024727_f1.fq.gz,HRR024727
HRR024727_r2.fq.gz,HRR024727
HRR024728_f1.fq.gz,HRR024728
HRR024728_r2.fq.gz,HRR024728
HRR024729_f1.fq.gz,HRR024729
HRR024729_r2.fq.gz,HRR024729
