tool_id,next_tool_id,kind,output,input
T01,T02,data,clean_fastq_read,clean_fastq_read
T02,T03,order,,
T02,T08,order,,
T03,T04,data,aligned_bam,aligned_bam
T04,T05,data,sorted_dedup_bam,sorted_dedup_bam
T05,T06,data,unfiltered_vcf,unfiltered_vcf
T06,T07,data,filtered_vcf,filtered_vcf
T08,T09,data,clean_fastq_read,clean_fastq_read
T09,T10,data,transcriptome_bam,transcriptome_bam
T09,T04,data,aligned_bam,aligned_bam
T04,T11,data,sorted_dedup_bam,sorted_dedup_bam
T01,T03,data,clean_fastq_read,clean_fastq_read
T01,T09,data,clean_fastq_read,clean_fastq_read
T02,T01,order,,
T01,T12,order,,
T02,T12,order,,
T04,T12,order,,
T05,T12,order,,
T07,T12,order,,
T09,T12,order,,
T10,T12,order,,
T11,T12,order,,
T01,T03,data,clean_fastq_read_r1,clean_fastq_read_r1
T01,T03,data,clean_fastq_read_r2,clean_fastq_read_r2
T04,T05,data,sorted_dedup_bam,tumor_bam
T04,T05,data,bai,tumor_bai
T04,T05,data,sorted_dedup_bam,normal_bam
T04,T05,data,bai,normal_bai
